,pop_id,year,authors,journal,title,type,filepath
10,10,2020,Bisbee et al.,Journal of European Public Policy,Decompensating domestically: the political economy of anti-globalism,article,Journal of European Public Policy/2020 - Bisbee et al. - Decompensating domestically the political economy of anti globalism.pdf
11,11,2020,Escartin,Journal of European Public Policy,Populist challenges to EU foreign policy in the Southern Neighbourhood: an informal and illiberal Europeanisation?,article,Journal of European Public Policy/2020 - Escartin - Populist challenges to EU foreign policy in the Southern Neighbourhood an informal and illiberal Europeanisation.pdf
12,12,2020,"Spencer, Oppermann",Journal of European Public Policy,Narrative genres of Brexit: the Leave campaign and the success of romance,article,"Journal of European Public Policy/2020 - Spencer, Oppermann - Narrative genres of Brexit the Leave campaign and the success of romance.pdf"
13,13,2018,Lockwood,Environmental Politics,Right-wing populism and the climate change agenda: exploring the linkages,article,Environmental Politics/2018 - Lockwood - Right wing populism and the climate change agenda exploring the linkages.pdf
14,14,2020,Huber,Environmental Politics,The role of populist attitudes in explaining climate change skepticism and support for environmental protection,article,Environmental Politics/2020 - Huber - The role of populist attitudes in explaining climate change skepticism and support for environmental protection.pdf
15,15,2018,Hurrell,Ethics & International Affairs,"Beyond the BRICS: Power, Pluralism, and the Future of Global Order",article,"Ethics & International Affairs/2018 - Hurrell - Beyond the BRICS -Power, Pluralism, and the Future of Global Order.pdf"
16,16,2015,"Verbeek, Zaslove",European Political Science Review,The impact of populist radical right parties on foreign policy: the Northern League as a junior coalition partner in the Berlusconi Governments,article,"European Political Science Review/2014 - Verbeek, Zaslove - The impact of populist radical right parties on foreign policy.pdf"
17,17,2018,Rooduijn,European Political Science Review,What unites the voter bases of populist parties? Comparing the electorates of 15 populist parties,article,European Political Science Review/2018 - Rooduijn - What unites the voter bases of populist parties. Comparing the electorates of 15 populist parties.pdf
18,18,2018,Bobba et al.,The International Journal of Press/Politics,"Populism and the Gender Gap: Comparing Digital Engagement with Populist and Non-populist Facebook Pages in France, Italy, and Spain",article,International Journal of Press-Politics/2018 - Bobba et al. - Populism and the Gender Gap.pdf
19,19,2018,Hameleers et al.,The International Journal of Press/Politics,Start Spreading the News: A Comparative Experiment on the Effects of Populist Communication on Political Engagement in Sixteen European Countries,article,International Journal of Press-Politics/2018 - Hameleers et al. - Start Spreading the News.pdf
20,20,2018,Wirz et al.,The International Journal of Press/Politics,The Effects of Right-Wing Populist Communication on Emotions and Cognitions toward Immigrants,article,International Journal of Press-Politics/2018 - Wirz et al. - The Effects of Right-Wing.pdf
21,21,2019,de Jonge,The International Journal of Press/Politics,The Populist Radical Right and the Media in the Benelux: Friend or Foe?,article,International Journal of Press-Politics/2019 - de Jonge - The Populist Radical Right and the Media in the Benelux.pdf
22,22,2018,Micozzi,Latin American Politics and Society,Division or Union of Labor? Analyzing Workers’ Representation in the Argentine Congress,article,Latin American Politics and Society/2018 - Micozzi - Division or Union of Labor. Analyzing Workers’ Representation in the Argentine Congress.pdf
23,23,2020,Pevehouse,International Organization,"The COVID-19 Pandemic, International Cooperation, and Populism",article,"International Organization/2020 - Pevehouse - The COVID-19 Pandemic, International Cooperation, and populism.pdf"
24,24,2012,"Nicholson, Segura",Political Behavior,Who’s the Party of the People? Economic Populism and the U.S. Public’s Beliefs About Political Parties,article,"Political Behavior/2012 - Nicholson, Segura - Who’s the Party of the People. Economic Populism and the U.S. Public´s Beliefs About Political Parties.pdf"
25,25,2020,"Bertsou, Caramani",American Journal of Political Science,People Haven’t Had Enough of Experts: TechnocraticcAttitudes among Citizens in Nine European Democracies,article,"American Journal of Political Science/2020 - Bertsou, Caramani - People Haven t Had Enough of Experts  Technocratic Attitudes among Citizens in.pdf"
26,26,2012,"Colburn, Cruz",Journal of Democracy,Personalism and Populism in Nicaragua,article,"Journal of Democracy/2012 - Colburn, Cruz - Personalism and Populism in Nicaragua.pdf"
27,27,2012,"McCargo, Zarakol",Journal of Democracy,Turkey and Thailand: Unlikely Twins,article,"Journal of Democracy/2012 - McCargo, Zarakol - Turkey and Thailand_Unlikely Twins.pdf"
28,28,2013,De la Torre,Journal of Democracy,Latin America’s Authoritarian Drift: Technocratic Populism in Ecuador,article,Journal of Democracy/2013 - de la Torre - Latin America’s Authoritarian Drift_Technocratic Populism in Ecuador.pdf
29,29,2013,Kornblith,Journal of Democracy,Latin America’s Authoritarian Drift: Chavismo After Chávez?,article,Journal of Democracy/2013 - Kornblith - Latin America’s Authoritarian Drift_Chavismo After Chávez.pdf
30,30,2013,Mazzuca,Journal of Democracy,Lessons from Latin America: The Rise of Rentier Populism,article,Journal of Democracy/2013 - Mazzuca - Lessons from Latin America_The Rise of Rentier Populism.pdf
31,31,2013,Pappas,Journal of Democracy,Why Greece Failed,article,Journal of Democracy/2013 - Pappas - Why Greece Failed.pdf
32,32,2013,Weyland,Journal of Democracy,Latin America’s Authoritarian Drift: The Threat from the Populist Left,article,Journal of Democracy/2013 - Weyland - Latin America’s Authoritarian Drift_The Threat from the Populist Left.pdf
33,33,2014,Mietzner,Journal of Democracy,Indonesia’s 2014 Elections: How Jokowi Won and Democracy Survived,article,Journal of Democracy/2014 - Mietzner - Indonesia's 2014 Elections_How Jokowi Won and Democracy Survived.pdf
34,34,2016,"Fomina, Kucharczyk",Journal of Democracy,The Specter Haunting Europe: Populism and Protest in Poland,article,"Journal of Democracy/2016 - Fomina, Kucharczyk - The Specter Haunting Europe_Populism and Protest in Poland.pdf"
35,35,2016,"Church, Vatter",Journal of Democracy,Shadows in the Swiss Paradise,article,"Journal of Democracy/2016 - Church, Vatter - Shadows in the Swiss Paradise.pdf"
36,36,2016,Lochocki,Journal of Democracy,The Specter Haunting Europe: Will the German Center Hold?,article,Journal of Democracy/2016 - Lochocki - The Specter Haunting Europe_Will the German Center Hold.pdf
37,37,2016,Pappas,Journal of Democracy,The Specter Haunting Europe: Distinguishing Liberal Democracy’s Challengers,article,Journal of Democracy/2016 - Pappas - The Specter Haunting Europe_Distinguishing LIberal Democracy's Challengers.pdf
38,38,2016,Reynié,Journal of Democracy,The Specter Haunting Europe: “Heritage Populism” and France’s National Front,article,Journal of Democracy/2016 - Reynié - The Specter Haunting Europe_“Heritage Populism” and France’s National Front.pdf
39,39,2016,Rupnik,Journal of Democracy,The Specter Haunting Europe: Surging Illiberalism in the East,article,Journal of Democracy/2016 - Rupnik - The Specter Haunting Europe_Surging Illiberalism in the East.pdf
40,40,2017,Applebaum,Journal of Democracy,Britain After Brexit: A Transformed Political Landscape,article,Journal of Democracy/2017 - Applebaum - Britain After Brexit_A Transformed Political Landscape.pdf
41,41,2017,Fish,Journal of Democracy,The Kremlin Emboldened: What Is Putinism?,article,Journal of Democracy/2017 - Fish - The Kremlin Emboldened - What Is Putinism.pdf
42,42,2017,"Ford, Goodwin",Journal of Democracy,Britain After Brexit: A Nation Divided,article,"Journal of Democracy/2017 - Ford, Goodwin - Britain After Brexit_A Nation Divided.pdf"
43,43,2017,Gallagher,Journal of Democracy,Britain After Brexit: Resistance from Scotland,article,Journal of Democracy/2017 - Gallagher - Britain After Brexit_Resistance from Scotland.pdf
44,44,2017,Galston,Journal of Democracy,The 2016 U.S. Election: The Populist Moment,article,Journal of Democracy/2017 - Galston - The 2016 U.S. Election_The Populis Moment.pdf
45,45,2017,Guelke,Journal of Democracy,Britain After Brexit: The Risk to Northern Ireland,article,Journal of Democracy/2017 - Guelke - Britain After Brexit_The Risk to Northern Ireland.pdf
46,46,2017,"Puddington, Roylance",Journal of Democracy,The Freedom House Survey for 2016: The Dual Threat of Populists and Autocrats,article,"Journal of Democracy/2017 - Puddington, Roylance - The Freedom House Survey for 2016_The Dual Threat of Populists and Autocrats.pdf"
47,47,2017,Qvortrup,Journal of Democracy,The Rise of Referendums: Demystifying Direct Democracy,article,Journal of Democracy/2017 - Qvortrup - The Rise of Referendums_Demystifying Direct Democracy.pdf
48,48,2017,Snyder,Journal of Democracy,The Modernization Trap,article,Journal of Democracy/2017 - Snyder - The Modernization Trap .pdf
49,49,2017,Topaloff,Journal of Democracy,The Rise of Referendums: Elite Strategy or Populist Weapon?,article,Journal of Democracy/2017 - Topaloff - The Rise of Referendums_Elite Strategy or Populist Weapon.pdf
50,50,2018,de la Torre,Journal of Democracy,Latin America’s Shifting Politics: Ecuador After Correa,article,Journal of Democracy/2018 - De la Torre - Latin America’s Shifting Politics_Ecuador After Correa.pdf
51,51,2018,Galston,Journal of Democracy,The Populist Challenge to Liberal Democracy,article,Journal of Democracy/2018 - Galston - The Populist Challenge to Liberal Democracy.pdf
53,53,2018,Margulies,Journal of Democracy,"Exchange: Nativists Are Populists, Not Liberals",article,"Journal of Democracy/2018 - Margulies - Exchange_Nativists are Populists, Not Liberals.pdf"
54,54,2018,Mungiu-Pippidi,Journal of Democracy,Explaining Eastern Europe: Romania’s Italian-Style Anticorruption Populism,article,Journal of Democracy/2018 - Mungiu-Pippidi - Romania´s Italian-Style Anticorruption Populism.pdf
55,55,2018,Pappas,Journal of Democracy,Exchange: How to Tell Nativists from Populists,article,Journal of Democracy/2018 - Pappas - Exchange_How to Tell Nativists from Populists.pdf
56,56,2018,Pehe,Journal of Democracy,Explaining Eastern Europe: Czech Democracy Under Pressure,article,Journal of Democracy/2018 - Pehe - Czech Democracy Under Pressure.pdf
57,57,2018,"Wike, Fetterolf",Journal of Democracy,Liberal Democracy’s Crisis of Confidence,article,"Journal of Democracy/2018 - Wike, Fetterolf - Liberal Democracy’s Crisis of Confidence.pdf"
58,58,2019,"Berman, Snegovaya",Journal of Democracy,Populism and the Decline of Social Democracy,article,"Journal of Democracy/2019 - Berman, Snegovaya - Populism and the Decline of Social Democracy.pdf"
59,59,2019,Grzymala-Busse,Journal of Democracy,The Failure of Europe’s Mainstream Parties,article,Journal of Democracy/2019 - Grzymala-Busse - The Failure of Europe's Mainstream Parties.pdf
60,60,2019,"Hunter, Power",Journal of Democracy,Bolsonaro and Brazil’s Illiberal Backlash,article,"Journal of Democracy/2019 - Hunter, Power - Bolsonaro and Brazils´s Illiberal Backlash.pdf"
61,61,2019,Chamorel,Journal of Democracy,Macron versus the Yellow Vests,article,Journal of Democracy/2019 - Chamorel - Macron Versus the Yellow Vests.pdf
62,62,2019,Mudde,Journal of Democracy,The 2019 EU Elections: Moving the Center,article,Journal of Democracy/2019 - Mudde - The 2019 EU Elections_Moving the Center.pdf
63,63,2019,Pappas,Journal of Democracy,Populists in Power,article,Journal of Democracy/2019 - Pappas - Populists in Power.pdf
64,64,2019,Shah,Journal of Democracy,Pakistan: Voting Under Military Tutelage,article,Journal of Democracy/2019 - Shah - Pakistan_Voting Under Military Tutelage.pdf
65,65,2019,Thompson,Journal of Democracy,Southeast Asia’s Troubling Elections: Is There a Silver Lining?,article,Journal of Democracy/2019 - Thompson - Southeast Asia's Troubling Elections_Is There a Silver.pdf
66,66,2020,"de Lara, de la Torre",Journal of Democracy,The Pushback Against Populism: Why Ecuador’s Referendums Backfired,article,"Journal of Democracy/2020 - de Lara, de la Torre - The Pushback Against Populism - Why Ecuador´s Referendums.pdf"
67,67,2020,Diamond,Journal of Democracy,Breaking Out of the Democratic Slump,article,Journal of Democracy/2020 - Diamond - Breaking Out Democratic Slump.pdf
68,68,2020,Fukuyama,Journal of Democracy,30 Years of World Politics: What Has Changed?,article,Journal of Democracy/2020 - Fukuyama - 30 Years of World Politics_What Has Changed.pdf
69,69,2020,Krastev,Journal of Democracy,The Fear of Shrinking Numbers,article,Journal of Democracy/2020 - Krastev - The Fear of Shrinking Numbers.pdf
70,70,2020,"Kuisz, Wigura",Journal of Democracy,The Pushback Against Populism: Reclaiming the Politics of Emotion,article,"Journal of Democracy/2020 - Kuisz, Wigura - The Pushback Against Populism_Reclaiming the Politics of Emotion.pdf"
71,71,2020,Nodia,Journal of Democracy,Democracy’s Inevitable Elites,article,Journal of Democracy/2020 - Nodia - Democracy's Inevitable Elites.pdf
72,72,2020,Pappas,Journal of Democracy,The Pushback Against Populism: The Rise and Fall of Greece’s New Illiberalism,article,Journal of Democracy/2020 - Pappas - The Pushback Against Populism -The Rise and Fall of Greece's New Illiberalism.pdf
73,73,2020,Repucci,Journal of Democracy,The Freedom House Survey for 2019: The Leaderless Struggle for Democracy,article,Journal of Democracy/2020 - Repucci - The Freedom House Survey for 2019_The Leaderless Struggle.pdf
74,74,2020,Smith,Journal of Democracy,Covid vs. Democracy: Brazil’s Populist Playbook,article,Journal of Democracy/2020 - Smith - Covid vs. Democracy_Brazil's Populist Playbook.pdf
75,75,2020,Whitehead,Journal of Democracy,The Hard Truths of Brexit,article,Journal of Democracy/2020 - Whitehead - The Hard Truths of Braxit.pdf
76,76,2020,"Wuthrich, Ingleby",Journal of Democracy,The Pushback Against Populism: Running on “Radical Love” in Turkey,article,"Journal of Democracy/2020 - Wuthrich, Ingleby - The Pushback Against Populism - Running on Radical Love in Turkey.pdf"
77,77,2011,Doyle,Comparative Political Studies,The Legitimacy of Political Institutions: Explaining Contemporary Populism in Latin America,article,Comparative Political Studies/2011 - Doyle - The Legitimacy of Political Institutions - Explaining Contemporary Populism in Latin America.pdf
78,78,2012,Resnick,Comparative Political Studies,Opposition Parties and the Urban Poor in African Democracies,article,Comparative Political Studies/2012 - Resnick - Opposition Parties and the Urban Poor in African Democracies.pdf
79,79,2014,Akkerman et al.,Comparative Political Studies,How Populist Are the People? Measuring Populist Attitudes in Voters,article,Comparative Political Studies/2014 - Akkerman et al. - How Populist Are the People. Measuring Populist Attitudes in Voters.pdf
80,80,2018,"Mudde, Rovira Kaltwasser",Comparative Political Studies,Studying Populism in Comparative Perspective: Reflections on the Contemporary and Future Research Agenda,article,"Comparative Political Studies/2018 - Mudde, Rovira Kaltwasser - Studying Populism in Comparative Perspective - Reflections on the Contemporary and Future Research Agenda.pdf"
81,81,2020,"Gidron, Hall",Comparative Political Studies,Populism as a Problem of Social Integration,article,"Comparative Political Studies/2020 - Gidron, Hall - Populism as a Problem of Social Integration.pdf"
82,82,2013,Webb,European Journal of Political Research,"Who is willing to participate? Dissatisfied democrats, stealth democrats and populists in the United Kingdom",article,European Journal of Political Research/2013 - Webb - Who is willing to participate  Dissatisfied democrats  stealth democrats and.pdf
83,83,2015,"Bakker, Rooduijn, Schumacher",European Journal of Political Research,"The psychological roots of populist voting: Evidence from the United States, the Netherlands and Germany",article,"European Journal of Political Research/2015 - Bakker, Rooduijn, Schumacher - The psychological roots of populist voting  Evidence from the United States  the.pdf"
84,84,2016,Bowler et al.,European Journal of Political Research,Right-wing populist party supporters: Dissatisfied but not direct democrats,article,European Journal of Political Research/2016 - Bowler et al.- Right‐wing populist party supporters.pdf
85,85,2017,Agerberg,European Journal of Political Research,Failed expectations: Quality of government and support for populist parties in Europe,article,European Journal of Political Research/2017 - Agerberg - Failed expectations  Quality of government and support for populist parties in.pdf
86,86,2017,"Bischof, Senninger",European Journal of Political Research,Simple politics for the people? Complexity in campaign messages and political knowledge,article,"European Journal of Political Research/2017 - Bischof, Senninger - Simple politics for the people  Complexity in campaign messages and political.pdf"
87,87,2017,"Van Hauwaert, Van Kessel",European Journal of Political Research,Beyond protest and discontent: A cross-national analysis of the effect of populist attitudes and issue positions on populist party support,article,"European Journal of Political Research/2017 - Van Hauwaert, Van Kessel - Beyond protest and discontent.pdf"
88,88,2018,"Beckstein, Rampton",European Journal of Political Research,Conservatism between theory and practice: The case of migration to Europe,article,"European Journal of Political Research/2018 - Beckstein, Rampton - Conservatism between theory and practice  The case of migration to Europe.pdf"
89,89,2018,Rooduijn,European Journal of Political Research,State of the field: How to study populism and adjacent topics? A plea for both more and less focus,article,European Journal of Political Research/2018 - Rooduijn - State of the field  How to study populism and adjacent topics  A plea for both.pdf
90,90,2019,Bos et al.,European Journal of Political Research,The effects of populism as a social identity frame on persuasion and mobilisation: Evidence from a 15-country experiment,article,European Journal of Political Research/2019 - Bos et al. - The effects of populism as a social identity frame on persuasion and mobilisation.pdf
91,91,2019,"Kantola, Lombardo",European Journal of Political Research,Populism and feminist politics: The cases of Finland and Spain,article,"European Journal of Political Research/2019 - Kantola, Lombardo - Populism and feminist politics The cases of Finland and Spain.pdf"
92,92,2019,"Larsen, Cutts, Goodwin",European Journal of Political Research,Do terrorist attacks feed populist Eurosceptics? Evidence from two comparative quasi-experiments,article,"European Journal of Political Research/2019 - Larsen, Cutts, Goodwin - Do terrorist attacks feed populist Eurosceptics  Evidence from two comparative.pdf"
93,93,2019,"Rico, Guinjoan, Anduiza",European Journal of Political Research,"Empowered and enraged: Political efficacy, anger and support for populism in Europe",article,"European Journal of Political Research/2019 - Rico, Guinjoan, Anduiza - Empowered and enraged  Political efficacy  anger and support for populism in.pdf"
94,94,2019,"Schaub, Morisi",European Journal of Political Research,Voter mobilisation in the echo chamber: Broadband internet and the rise of populism in Europe,article,"European Journal of Political Research/2019 - Schaub, Morisi - Voter mobilisation in the echo chamber  Broadband internet and the rise of.pdf"
95,95,2012,"Hadiz, Robison",New Political Economy,Political Economy and Islamic Politics: Insights from the Indonesian Case,article,"New Political Economy/2012 - Hadiz, Robison - Political Economy and Islamic Politics Insights from the Indonesian Case.pdf"
96,96,2017,Loeppky,New Political Economy,‘Adaptive accumulation’ and US political economy,article,New Political Economy/2017 - Loeppky - Adaptive accumulation.pdf .pdf
97,97,2020,"Bluhm, Varga",New Political Economy,Conservative Developmental Statism in East Central Europe and Russia,article,"New Political Economy/2020 - Bluhm, Varga - Conservative Developmental.pdf"
98,98,2020,Toplišek,New Political Economy,The Political Economy of Populist Rule in Post-Crisis Europe: Hungary and Poland,article,New Political Economy/2020 - Toplišek - The Political Economy of Populist Rule in Post Crisis Europe Hungary and Poland.pdf
99,99,2011,Berrios et al.,Review of International Political Economy,Explaining hydrocarbon nationalization in Latin America: Economics and political ideology,article,Review of International Political Economy/2011 - Berrios et al. - Explaining hydrocarbon nationalization in Latin America.pdf
100,100,2017,"Blyth, Matthijs",Review of International Political Economy,"Black Swans, Lame Ducks, and the mystery of IPE's missing macroeconomy",article,"Review of International Political Economy/2017 - Blyth, Matthijs - Black Swans Lame Ducks and the mystery of IPE s missing macroeconomy.pdf"
101,101,2017,Schmidt,Review of International Political Economy,Britain-out and Trump-in: a discursive institutionalist analysis of the British referendum on the EU and the US presidential election,article,Review of International Political Economy/2017 - Schmidt - Britain-out and Trump-in_ a discursive institutionalist analysis of the British referendum on the EU and the US presidential election.pdf
102,102,2018,"Capelos, Katsanidou",Political Psychology,Reactionary Politics: Explaining the Psychological Roots of Anti Preferences in European Integration and Immigration Debates,article,"Political Psychology/2018 - Capelos, Katsanidou - Reactionary Politics  Explaining the Psychological Roots of Anti Preferences in.pdf"
103,103,2019,Golec de Zavala et al.,Political Psychology,Collective Narcissism: Political Consequences of Investing Self-Worth in the Ingroup’s Image,article,Political Psychology/2019 - Golec de Zavala et al. - Collective Narcissism  Political Consequences of Investing Self‐Worth in.pdf
104,104,2019,"Hall, Ross",Political Psychology,Rethinking Affective Experience and Popular Emotion: World War I and the Construction of Group Emotion in International Relations,article,"Political Psychology/2019 - Hall, Ross - Rethinking Affective Experience and Popular Emotion  World War I and the Construction.pdf"
105,105,2019,Rothmund et al.,Political Psychology,Justice for the People? How Justice Sensitivity Can Foster and Impair Support for Populist Radical-Right Parties and Politicians in the United States and in Germany,article,Political Psychology/2019 - Rothmund et al. - Justice for the People  How Justice Sensitivity Can Foster and Impair Support for.pdf
106,106,2019,Stanojevic et al.,Political Psychology,Good Workers and Crooked Bosses: The Effect of Voice Suppression by Supervisors on Employees’ Populist Attitudes and Voting,article,Political Psychology/2019 - Stanojevic et al. - Good Workers and Crooked Bosses  The Effect of Voice Suppression by Supervisors.pdf
107,107,2020,"Montiel, Uyheng",Political Psychology,Mapping Contentious Collective Emotions in a Populist Democracy: Duterte’s Push for Philippine Federalism,article,"Political Psychology/2020 - Montiel, Uyheng - Mapping Contentious Collective Emotions in a Populist Democracy  Duterte s Push for.pdf"
108,108,2020,Merkley,Public Opinion Quarterly,"Anti-Intellectualism, Populism, and Motivated Resistance to Expert Consensus",article,"Public Opinion Quarterly/2020 - Merkley - Anti-Intellectualism, Populism and Motivated Resistance to Expert Consensus.pdf"
109,109,2017,"Thielemann, Zaun",JCMS: Journal of Common Market Studies,Escaping Populism – Safeguarding Minority Rights: Non-majoritarian Dynamics in European Policy-making,article,"JCMS Journal of Common Market Studies/2017 - Thielemann, Zaun - Escaping Populism   Safeguarding Minority Rights  Non‐majoritarian.pdf"
110,110,2017,Zaun,JCMS: Journal of Common Market Studies,States as Gatekeepers in EU Asylum Politics: Explaining the Non-adoption of a Refugee Quota System,article,JCMS Journal of Common Market Studies/2017 - Zaun - States as Gatekeepers in EU Asylum Politics  Explaining the Non‐adoption of a.pdf
111,111,2018,Hix,JCMS: Journal of Common Market Studies,When Optimism Fails: Liberal Intergovernmentalism and Citizen Representation,article,JCMS Journal of Common Market Studies/2018 - Hix - When Optimism Fails  Liberal Intergovernmentalism and Citizen Representation.pdf
112,112,2017,"Spierings, Zaslove",West European Politics,"Gender, populist attitudes, and voting: explaining the gender gap in voting for populist radical right and populist radical left parties",article,"West European Politics/2017 - Spierings, Zaslove - Gender populist attitudes and voting explaining the gender gap in voting for populist radical right and populist radical left parties.pdf"
113,113,2019,"Bernhard, Kriesi",West European Politics,Populism in election times: a comparative analysis of 11 countries in Western Europe,article,"West European Politics/2019 - Bernhard, Kriesi - Populism in election times a comparative analysis of 11 countries in Western Europe.pdf"
114,114,2019,"Caiani, Graziano",West European Politics,Understanding varieties of populism in times of crises,article,"West European Politics/2019 - Caiani, Graziano - nderstanding varieties of populism in times of crises.pdf"
115,115,2019,"Caramani, Manucci",West European Politics,National past and populism: the re-elaboration of fascism and its impact on right-wing populism in Western Europe,article,"West European Politics/2019 - Caramani, Manucci - National past and populism the re elaboration of fascism and its impact on right wing populism in Western Europe.pdf"
116,116,2019,Lisi et al.,West European Politics,"Economic crisis and the variety of populist response: evidence from Greece, Portugal and Spain",article,West European Politics/2019 - Lisi et al. - Economic crisis and the variety of populist response evidence from Greece Portugal and Spain.pdf
117,117,2019,Lutz,West European Politics,Variation in policy success: radical right populism and migration policy,article,West European Politics/2019 - Lutz - Variation in policy success radical right populism and migration policy.pdf
118,118,2019,"Nai, Martínez i Coma",West European Politics,"The personality of populists: provocateurs, charismatic leaders, or drunken dinner guests?",article,"West European Politics/2019 - Nai, Martínez i Coma - The personality of populists provocateurs charismatic leaders or drunken dinner guests.pdf"
119,119,2019,Surel,West European Politics,How to stay populist? The Front National and the changing French party system,article,West European Politics/2019 - Surel - How to stay populist The Front National and the changing French party system.pdf
120,120,2019,Usherwood,West European Politics,Shooting the fox? UKIP’s populism in the post-Brexit era,article,West European Politics/2019 - Usherwood - Shooting the fox UKIP s populism in the post Brexit era.pdf
121,121,2020,"Adler, Ansell",West European Politics,Housing and populism,article,"West European Politics/2020 - Adler, Ansell - Housing and populism.pdf"
122,122,2020,Arter,West European Politics,When a pariah party exploits its demonised status: the 2019 Finnish general election,article,West European Politics/2020 - Arter - When a pariah party exploits its demonised status the 2019 Finnish general election.pdf
123,123,2020,"Helbling, Jungkunz",West European Politics,Social divides in the age of globalization,article,"West European Politics/2020 - Helbling, Jungkunz - Social divides in the age of globalization.pdf"
124,124,2020,Marcos-Marne et al.,West European Politics,"Who votes for new parties? Economic voting, political ideology and populist attitudes",article,West European Politics/2020 - Marcos-Marne et al. - Who votes for new parties Economic voting political ideology and populist attitudes.pdf
125,125,2020,Wuttke,West European Politics,New political parties through the voters’ eyes,article,West European Politics/2020 - Wuttke - New political parties through the voters eyes.pdf
126,126,2020,Marien et al.,West European Politics,Deliberative qualities in televised election debates: the influence of the electoral system and populism,article,"West European Politics/2020 - Marien, Goovaerts, Elstub - Deliberative qualities in televised election debates the influence of the electoral system and populism.pdf"
127,127,2020,Gonzalez-Vicente,"Territory, Politics, Governance",The liberal peace fallacy violent neoliberalism and the temporal and spatial traps of state-based approaches to peace,article,"Territory, Politics, Governance/2020 - Gonzalez-Vicente - The liberal peace fallacy violent neoliberalism and the temporal and spatial traps of state-based approaches to peace.pdf"
128,128,2017,Hobson,Perspectives on Politics,Democratic Peace: Progress and Crisis,article,Perspectives on Politics/2017 - Hobson - Democratic Peace Progress and Crisis.pdf
129,129,2018,Lake,Perspectives on Politics,International Legitimacy Lost? Rule and Resistance When America Is Firs,article,Perspectives on Politics/2018 - Lake - International Legitimacy Lost_ Rule and Resistance When America Is First.pdf
130,130,2019,"Bagg, Tranvik",Perspectives on Politics,An Adversarial Ethics for Campaigns and Elections,article,"Perspectives on Politics/2019 - Bagg, Tranvik - An Adversarial Ethics for Campaigns and Elections.pdf"
131,131,2019,Lebow,Perspectives on Politics,Trumpism and the Dialectic of Neoliberal Reason,article,Perspectives on Politics/2019 - Lebow - Trumpism and the Dialectic of Neoliberal Reason.pdf
132,132,2019,Lee,Perspectives on Politics,Populism and the American Party System: Opportunities and Constraints,article,Perspectives on Politics/2019 - Lee - Populism and the American Party System_Opportunities and Constraints.pdf
133,133,2020,Art,Perspectives on Politics,The Myth of Global Populism,article,Perspectives on Politics/2020 - Art - The Myth of Global Populism.pdf
134,134,2020,"McDonnell, Ondelli",Perspectives on Politics,The Language of Right-Wing Populist Leaders: Not So Simple,article,"Perspectives on Politics/2020 - McDonnell, Ondelli - The Language of Right-Wing Populist Leaders_Not So Simple.pdf"
135,135,2020,Voeten,Perspectives on Politics,Populism and Backlashes against International Courts,article,Perspectives on Politics/2020 - Voeten - Populism and Backlashes against International Courts.pdf
