,year,authors,journal,title,type,pdf?,keywords,keywords_online?,notes,filepath
10,2020,Bisbee et al.,Journal of European Public Policy,Decompensating domestically: the political economy of anti-globalism,article,y,y,,,['Journal of European Public Policy/2020 - Bisbee et al. - Decompensating domestically the political economy of anti globalism.pdf']
11,2020,Escartin,Journal of European Public Policy,Populist challenges to EU foreign policy in the Southern Neighbourhood: an informal and illiberal Europeanisation?,article,y,y,,,['Journal of European Public Policy/2020 - Escartin - Populist challenges to EU foreign policy in the Southern Neighbourhood an informal and illiberal Europeanisation.pdf']
12,2020,"Spencer, Oppermann",Journal of European Public Policy,Narrative genres of Brexit: the Leave campaign and the success of romance,article,y,y,,,"['Journal of European Public Policy/2020 - Spencer, Oppermann - Narrative genres of Brexit the Leave campaign and the success of romance.pdf']"
13,2018,Lockwood,Environmental Politics,Right-wing populism and the climate change agenda: exploring the linkages,article,y,y,,,['Environmental Politics/2018 - Lockwood - Right wing populism and the climate change agenda exploring the linkages.pdf']
14,2020,Huber,Environmental Politics,The role of populist attitudes in explaining climate change skepticism and support for environmental protection,article,y,y,,,['Environmental Politics/2020 - Huber - The role of populist attitudes in explaining climate change skepticism and support for environmental protection.pdf']
15,2018,Hurrell,Ethics & International Affairs,"Beyond the BRICS: Power, Pluralism, and the Future of Global Order",article,y,y,y,,"['Ethics & International Affairs/2018 - Hurrell - Beyond the BRICS -Power, Pluralism, and the Future of Global Order.pdf']"
16,2015,"Verbeek, Zaslove",European Political Science Review,The impact of populist radical right parties on foreign policy: the Northern League as a junior coalition partner in the Berlusconi Governments,article,y,y,,,"['European Political Science Review/2014 - Verbeek, Zaslove - The impact of populist radical right parties on foreign policy.pdf']"
17,2018,Rooduijn,European Political Science Review,What unites the voter bases of populist parties? Comparing the electorates of 15 populist parties,article,y,y,,,['European Political Science Review/2018 - Rooduijn - What unites the voter bases of populist parties. Comparing the electorates of 15 populist parties.pdf']
18,2018,Micozzi,European Political Science Review,Division or Union of Labor?Analyzing Workers’ Representation in the Argentine Congress,article,y,y,,,['European Political Science Review/2018 - Micozzi - Division or Union of Labor. Analyzing Workers’ Representation in the Argentine Congress.pdf']
19,2018,Bobba et al.,The International Journal of Press/Politics,"Populism and the Gender Gap: Comparing Digital Engagement with Populist and Non-populist Facebook Pages in France, Italy, and Spain",article,y,y,,,['International Journal of Press-Politics/2018 - Bobba et al. - Populism and the Gender Gap.pdf']
20,2018,Hameleers et al.,The International Journal of Press/Politics,Start Spreading the News: A Comparative Experiment on the Effects of Populist Communication on Political Engagement in Sixteen European Countries,article,y,y,,,['International Journal of Press-Politics/2018 - Hameleers et al. - Start Spreading the News.pdf']
21,2018,Wirz et al.,The International Journal of Press/Politics,The Effects of Right-Wing Populist Communication on Emotions and Cognitions toward Immigrants,article,y,y,,,['International Journal of Press-Politics/2018 - Wirz et al. - The Effects of Right-Wing.pdf']
22,2019,de Jonge,The International Journal of Press/Politics,The Populist Radical Right and the Media in the Benelux: Friend or Foe?,article,y,y,,,['International Journal of Press-Politics/2019 - de Jonge - The Populist Radical Right and the Media in the Benelux.pdf']
23,2018,Micozzi,Latin American Politics and Society,Division or Union of Labor? Analyzing Workers’ Representation in the Argentine Congress,article,y,y,,,['European Political Science Review/2018 - Micozzi - Division or Union of Labor. Analyzing Workers’ Representation in the Argentine Congress.pdf']
24,2020,Pevehouse,International Organization,"The COVID-19 Pandemic, International Cooperation, and Populism",article,y,y,y,,"['International Organization/2020 - Pevehouse - The COVID-19 Pandemic, International Cooperation, and populism.pdf']"
25,2012,"Nicholson, Segura",Political Behavior,Who’s the Party of the People? Economic Populism and the U.S. Public’s Beliefs About Political Parties,article,y,y,,,"['Political Behavior/2012 - Nicholson, Segura - Who’s the Party of the People. Economic Populism and the U.S. Public´s Beliefs About Political Parties.pdf']"
26,2020,"Bertsou, Caramani",American Journal of Political Science,People Haven’t Had Enough of Experts: TechnocraticcAttitudes among Citizens in Nine European Democracies,article,y,y,,,"['American Journal of Political Science/2020 - Bertsou, Caramani - People Haven t Had Enough of Experts  Technocratic Attitudes among Citizens in.pdf']"
27,2012,"Colburn, Cruz",Journal of Democracy,Personalism and Populism in Nicaragua,article,y,y,y,,"['Journal of Democracy/2012 - Colburn, Cruz - Personalism and Populism in Nicaragua.pdf']"
28,2012,"McCargo, Zarakol",Journal of Democracy,Turkey and Thailand: Unlikely Twins,article,y,y,y,,"['Journal of Democracy/2012 - McCargo, Zarakol - Turkey and Thailand_Unlikely Twins.pdf']"
29,2013,De la Torre,Journal of Democracy,Latin America’s Authoritarian Drift: Technocratic Populism in Ecuador,article,y,y,y,,['Journal of Democracy/2013 - de la Torre - Latin America’s Authoritarian Drift_Technocratic Populism in Ecuador.pdf']
30,2013,Kornblith,Journal of Democracy,Latin America’s Authoritarian Drift: Chavismo After Chávez?,article,y,y,y,,['Journal of Democracy/2013 - Kornblith - Latin America’s Authoritarian Drift_Chavismo After Chávez.pdf']
31,2013,Mazzuca,Journal of Democracy,Lessons from Latin America: The Rise of Rentier Populism,article,y,y,y,,['Journal of Democracy/2013 - Mazzuca - Lessons from Latin America_The Rise of Rentier Populism.pdf']
32,2013,Pappas,Journal of Democracy,Why Greece Failed,article,y,y,y,,['Journal of Democracy/2013 - Pappas - Why Greece Failed.pdf']
33,2013,Weyland,Journal of Democracy,Latin America’s Authoritarian Drift: The Threat from the Populist Left,article,y,y,y,,['Journal of Democracy/2013 - Weyland - Latin America’s Authoritarian Drift_The Threat from the Populist Left.pdf']
34,2014,Mietzner,Journal of Democracy,Indonesia’s 2014 Elections: How Jokowi Won and Democracy Survived,article,y,y,y,,"[""Journal of Democracy/2014 - Mietzner - Indonesia's 2014 Elections_How Jokowi Won and Democracy Survived.pdf""]"
35,2016,"Fomina, Kucharczyk",Journal of Democracy,The Specter Haunting Europe: Populism and Protest in Poland,article,y,y,y,,"['Journal of Democracy/2016 - Fomina, Kucharczyk - The Specter Haunting Europe_Populism and Protest in Poland.pdf']"
36,2016,"Church, Vatter",Journal of Democracy,Shadows in the Swiss Paradise,article,y,y,y,,"['Journal of Democracy/2016 - Church, Vatter - Shadows in the Swiss Paradise.pdf']"
37,2016,Lochocki,Journal of Democracy,The Specter Haunting Europe: Will the German Center Hold?,article,y,y,y,,['Journal of Democracy/2016 - Lochocki - The Specter Haunting Europe_Will the German Center Hold.pdf']
38,2016,Pappas,Journal of Democracy,The Specter Haunting Europe: Distinguishing Liberal Democracy’s Challengers,article,y,y,y,,"[""Journal of Democracy/2016 - Pappas - The Specter Haunting Europe_Distinguishing LIberal Democracy's Challengers.pdf""]"
39,2016,Reynié,Journal of Democracy,The Specter Haunting Europe: “Heritage Populism” and France’s National Front,article,y,y,y,,['Journal of Democracy/2016 - Reynié - The Specter Haunting Europe_“Heritage Populism” and France’s National Front.pdf']
40,2016,Rupnik,Journal of Democracy,The Specter Haunting Europe: Surging Illiberalism in the East,article,y,y,y,,['Journal of Democracy/2016 - Rupnik - The Specter Haunting Europe_Surging Illiberalism in the East.pdf']
41,2017,Applebaum,Journal of Democracy,Britain After Brexit: A Transformed Political Landscape,article,y,y,y,,['Journal of Democracy/2017 - Applebaum - Britain After Brexit_A Transformed Political Landscape.pdf']
42,2017,Fish,Journal of Democracy,The Kremlin Emboldened: What Is Putinism?,article,y,y,y,,['Journal of Democracy/2017 - Fish - The Kremlin Emboldened - What Is Putinism.pdf']
43,2017,"Ford, Goodwin",Journal of Democracy,Britain After Brexit: A Nation Divided,article,y,y,y,,"['Journal of Democracy/2017 - Ford, Goodwin - Britain After Brexit_A Nation Divided.pdf']"
44,2017,Gallagher,Journal of Democracy,Britain After Brexit: Resistance from Scotland,article,y,y,y,,['Journal of Democracy/2017 - Gallagher - Britain After Brexit_Resistance from Scotland.pdf']
45,2017,Galston,Journal of Democracy,The 2016 U.S. Election: The Populist Moment,article,y,y,y,,['Journal of Democracy/2017 - Galston - The 2016 U.S. Election_The Populis Moment.pdf']
46,2017,Guelke,Journal of Democracy,Britain After Brexit: The Risk to Northern Ireland,article,y,y,y,,['Journal of Democracy/2017 - Guelke - Britain After Brexit_The Risk to Northern Ireland.pdf']
47,2017,"Puddington, Roylance",Journal of Democracy,The Freedom House Survey for 2016: The Dual Threat of Populists and Autocrats,article,y,y,y,,"['Journal of Democracy/2017 - Puddington, Roylance - The Freedom House Survey for 2016_The Dual Threat of Populists and Autocrats.pdf']"
48,2017,Qvortrup,Journal of Democracy,The Rise of Referendums: Demystifying Direct Democracy,article,y,y,y,,['Journal of Democracy/2017 - Qvortrup - The Rise of Referendums_Demystifying Direct Democracy.pdf']
49,2017,Snyder,Journal of Democracy,The Modernization Trap,article,y,y,y,,['Journal of Democracy/2017 - Snyder - The Modernization Trap .pdf']
50,2017,Topaloff,Journal of Democracy,The Rise of Referendums: Elite Strategy or Populist Weapon?,article,y,y,y,,['Journal of Democracy/2017 - Topaloff - The Rise of Referendums_Elite Strategy or Populist Weapon.pdf']
51,2018,de la Torre,Journal of Democracy,Latin America’s Shifting Politics: Ecuador After Correa,article,y,y,y,,['Journal of Democracy/2018 - De la Torre - Latin America’s Shifting Politics_Ecuador After Correa.pdf']
52,2018,Galston,Journal of Democracy,The Populist Challenge to Liberal Democracy,article,y,y,y,,['Journal of Democracy/2018 - Galston - The Populist Challenge to Liberal Democracy.pdf']
53,2018,Gamboa,Journal of Democracy,Latin America’s Shifting Politics: The Peace Process and Colombia’s Elections,article,n,y,y,NEJDE STÁHNOUT - NEMÁM PŘÍSTUP,['Journal of Democracy/2018 - De la Torre - Latin America’s Shifting Politics_Ecuador After Correa.pdf']
54,2018,Margulies,Journal of Democracy,"Exchange: Nativists Are Populists, Not Liberals",article,y,y,y,,"['Journal of Democracy/2018 - Margulies - Exchange_Nativists are Populists, Not Liberals.pdf']"
55,2018,Mungiu-Pippidi,Journal of Democracy,Explaining Eastern Europe: Romania’s Italian-Style Anticorruption Populism,article,y,y,y,,['Journal of Democracy/2018 - Mungiu-Pippidi - Romania´s Italian-Style Anticorruption Populism.pdf']
56,2018,Pappas,Journal of Democracy,Exchange: How to Tell Nativists from Populists,article,y,y,y,,['Journal of Democracy/2018 - Pappas - Exchange_How to Tell Nativists from Populists.pdf']
57,2018,Pehe,Journal of Democracy,Explaining Eastern Europe: Czech Democracy Under Pressure,article,y,y,y,,['Journal of Democracy/2018 - Pehe - Czech Democracy Under Pressure.pdf']
58,2018,"Wike, Fetterolf",Journal of Democracy,Liberal Democracy’s Crisis of Confidence,article,y,y,y,,"['Journal of Democracy/2018 - Wike, Fetterolf - Liberal Democracy’s Crisis of Confidence.pdf']"
59,2019,"Berman, Snegovaya",Journal of Democracy,Populism and the Decline of Social Democracy,article,y,y,y,,"['Journal of Democracy/2019 - Berman, Snegovaya - Populism and the Decline of Social Democracy.pdf']"
60,2019,Grzymala-Busse,Journal of Democracy,The Failure of Europe’s Mainstream Parties,article,y,y,y,,"[""Journal of Democracy/2019 - Grzymala-Busse - The Failure of Europe's Mainstream Parties.pdf""]"
61,2019,"Hunter, Power",Journal of Democracy,Bolsonaro and Brazil’s Illiberal Backlash,article,y,y,y,,"['Journal of Democracy/2019 - Hunter, Power - Bolsonaro and Brazils´s Illiberal Backlash.pdf']"
62,2019,Chamorel,Journal of Democracy,Macron versus the Yellow Vests,article,y,y,y,,['Journal of Democracy/2019 - Chamorel - Macron Versus the Yellow Vests.pdf']
63,2019,Mudde,Journal of Democracy,The 2019 EU Elections: Moving the Center,article,y,y,y,,['Journal of Democracy/2019 - Mudde - The 2019 EU Elections_Moving the Center.pdf']
64,2019,Pappas,Journal of Democracy,Populists in Power,article,y,y,y,,['Journal of Democracy/2019 - Pappas - Populists in Power.pdf']
65,2019,Shah,Journal of Democracy,Pakistan: Voting Under Military Tutelage,article,y,y,y,,['Journal of Democracy/2019 - Shah - Pakistan_Voting Under Military Tutelage.pdf']
66,2019,Thompson,Journal of Democracy,Southeast Asia’s Troubling Elections: Is There a Silver Lining?,article,y,y,y,,"[""Journal of Democracy/2019 - Thompson - Southeast Asia's Troubling Elections_Is There a Silver.pdf""]"
67,2020,"de Lara, de la Torre",Journal of Democracy,The Pushback Against Populism: Why Ecuador’s Referendums Backfired,article,y,y,y,,"['Journal of Democracy/2020 - de Lara, de la Torre - The Pushback Against Populism - Why Ecuador´s Referendums.pdf']"
68,2020,Diamond,Journal of Democracy,Breaking Out of the Democratic Slump,article,y,y,y,,['Journal of Democracy/2020 - Diamond - Breaking Out Democratic Slump.pdf']
69,2020,Fukuyama,Journal of Democracy,30 Years of World Politics: What Has Changed?,article,y,y,y,,['Journal of Democracy/2020 - Fukuyama - 30 Years of World Politics_What Has Changed.pdf']
70,2020,Krastev,Journal of Democracy,The Fear of Shrinking Numbers,article,y,y,y,,['Journal of Democracy/2020 - Krastev - The Fear of Shrinking Numbers.pdf']
71,2020,"Kuisz, Wigura",Journal of Democracy,The Pushback Against Populism: Reclaiming the Politics of Emotion,article,y,y,y,,"['Journal of Democracy/2020 - Kuisz, Wigura - The Pushback Against Populism_Reclaiming the Politics of Emotion.pdf']"
72,2020,Nodia,Journal of Democracy,Democracy’s Inevitable Elites,article,y,y,y,,"[""Journal of Democracy/2020 - Nodia - Democracy's Inevitable Elites.pdf""]"
73,2020,Pappas,Journal of Democracy,The Pushback Against Populism: The Rise and Fall of Greece’s New Illiberalism,article,y,y,y,,"[""Journal of Democracy/2020 - Pappas - The Pushback Against Populism -The Rise and Fall of Greece's New Illiberalism.pdf""]"
74,2020,Repucci,Journal of Democracy,The Freedom House Survey for 2019: The Leaderless Struggle for Democracy,article,y,y,y,,['Journal of Democracy/2020 - Repucci - The Freedom House Survey for 2019_The Leaderless Struggle.pdf']
75,2020,Smith,Journal of Democracy,Covid vs. Democracy: Brazil’s Populist Playbook,article,y,y,y,,"[""Journal of Democracy/2020 - Smith - Covid vs. Democracy_Brazil's Populist Playbook.pdf""]"
76,2020,Whitehead,Journal of Democracy,The Hard Truths of Brexit,article,y,y,y,,['Journal of Democracy/2020 - Whitehead - The Hard Truths of Braxit.pdf']
77,2020,"Wuthrich, Ingleby",Journal of Democracy,The Pushback Against Populism: Running on “Radical Love” in Turkey,article,y,y,y,,"['Journal of Democracy/2020 - Wuthrich, Ingleby - The Pushback Against Populism - Running on Radical Love in Turkey.pdf']"
78,2011,Doyle,Comparative Political Studies,The Legitimacy of Political Institutions: Explaining Contemporary Populism in Latin America,article,y,y,,,['Comparative Political Studies/2011 - Doyle - The Legitimacy of Political Institutions - Explaining Contemporary Populism in Latin America.pdf']
79,2012,Resnick,Comparative Political Studies,Opposition Parties and the Urban Poor in African Democracies,article,y,y,,,['Comparative Political Studies/2012 - Resnick - Opposition Parties and the Urban Poor in African Democracies.pdf']
80,2014,Akkerman et al.,Comparative Political Studies,How Populist Are the People? Measuring Populist Attitudes in Voters,article,y,y,,,['Comparative Political Studies/2014 - Akkerman et al. - How Populist Are the People. Measuring Populist Attitudes in Voters.pdf']
81,2018,"Mudde, Rovira Kaltwasser",Comparative Political Studies,Studying Populism in Comparative Perspective: Reflections on the Contemporary and Future Research Agenda,article,y,y,,,"['Comparative Political Studies/2018 - Mudde, Rovira Kaltwasser - Studying Populism in Comparative Perspective - Reflections on the Contemporary and Future Research Agenda.pdf']"
82,2020,"Gidron, Hall",Comparative Political Studies,Populism as a Problem of Social Integration,article,y,y,,,"['Comparative Political Studies/2020 - Gidron, Hall - Populism as a Problem of Social Integration.pdf']"
83,2013,Webb,European Journal of Political Research,"Who is willing to participate? Dissatisfied democrats, stealth democrats and populists in the United Kingdom",article,y,y,,,['European Journal of Political Research/2013 - Webb - Who is willing to participate  Dissatisfied democrats  stealth democrats and.pdf']
84,2015,"Bakker, Rooduijn, Schumacher",European Journal of Political Research,"The psychological roots of populist voting: Evidence from the United States, the Netherlands and Germany",article,y,y,,,"['European Journal of Political Research/2015 - Bakker, Rooduijn, Schumacher - The psychological roots of populist voting  Evidence from the United States  the.pdf']"
85,2016,Bowler et al.,European Journal of Political Research,Right-wing populist party supporters: Dissatisfied but not direct democrats,article,y,y,,,['European Journal of Political Research/2016 - Bowler et al.- Right‐wing populist party supporters.pdf']
86,2017,Agerberg,European Journal of Political Research,Failed expectations: Quality of government and support for populist parties in Europe,article,y,y,,,['European Journal of Political Research/2017 - Agerberg - Failed expectations  Quality of government and support for populist parties in.pdf']
87,2017,"Bischof, Senninger",European Journal of Political Research,Simple politics for the people? Complexity in campaign messages and political knowledge,article,y,y,,,"['European Journal of Political Research/2017 - Bischof, Senninger - Simple politics for the people  Complexity in campaign messages and political.pdf']"
88,2017,"Van Hauwaert, Van Kessel",European Journal of Political Research,Beyond protest and discontent: A cross-national analysis of the effect of populist attitudes and issue positions on populist party support,article,y,y,,,"['European Journal of Political Research/2017 - Van Hauwaert, Van Kessel - Beyond protest and discontent.pdf']"
89,2018,"Beckstein, Rampton",European Journal of Political Research,Conservatism between theory and practice: The case of migration to Europe,article,y,y,,,"['European Journal of Political Research/2018 - Beckstein, Rampton - Conservatism between theory and practice  The case of migration to Europe.pdf']"
90,2018,Rooduijn,European Journal of Political Research,State of the field: How to study populism and adjacent topics? A plea for both more and less focus,article,y,y,,,['European Journal of Political Research/2018 - Rooduijn - State of the field  How to study populism and adjacent topics  A plea for both.pdf']
91,2019,Bos et al.,European Journal of Political Research,The effects of populism as a social identity frame on persuasion and mobilisation: Evidence from a 15-country experiment,article,y,y,,,['European Journal of Political Research/2019 - Bos et al. - The effects of populism as a social identity frame on persuasion and mobilisation.pdf']
92,2019,"Kantola, Lombardo",European Journal of Political Research,Populism and feminist politics: The cases of Finland and Spain,article,y,y,,,"['European Journal of Political Research/2019 - Kantola, Lombardo - Populism and feminist politics The cases of Finland and Spain.pdf']"
93,2019,"Larsen, Cutts, Goodwin",European Journal of Political Research,Do terrorist attacks feed populist Eurosceptics? Evidence from two comparative quasi-experiments,article,y,y,,,"['European Journal of Political Research/2019 - Larsen, Cutts, Goodwin - Do terrorist attacks feed populist Eurosceptics  Evidence from two comparative.pdf']"
94,2019,"Rico, Guinjoan, Anduiza",European Journal of Political Research,"Empowered and enraged: Political efficacy, anger and support for populism in Europe",article,y,y,,,"['European Journal of Political Research/2019 - Rico, Guinjoan, Anduiza - Empowered and enraged  Political efficacy  anger and support for populism in.pdf']"
95,2019,"Schaub, Morisi",European Journal of Political Research,Voter mobilisation in the echo chamber: Broadband internet and the rise of populism in Europe,article,y,y,,,"['European Journal of Political Research/2019 - Schaub, Morisi - Voter mobilisation in the echo chamber  Broadband internet and the rise of.pdf']"
96,2012,"Hadiz, Robison",New Political Economy,Political Economy and Islamic Politics: Insights from the Indonesian Case,article,y,y,,,"['International Political Science Review/2017 - Hadiz, Robison - Competing populisms in post-authoritarian Indonesia.pdf']"
97,2017,Loeppky,New Political Economy,‘Adaptive accumulation’ and US political economy,article,y,y,,,[]
98,2020,"Bluhm, Varga",New Political Economy,Conservative Developmental Statism in East Central Europe and Russia,article,y,y,,,[]
99,2020,Toplišek,New Political Economy,The Political Economy of Populist Rule in Post-Crisis Europe: Hungary and Poland,article,y,y,,,[]
100,2011,Berrios et al.,Review of International Political Economy,Explaining hydrocarbon nationalization in Latin America: Economics and political ideology,article,y,y,,,['Review of International Political Economy/2011 - Berrios et al. - Explaining hydrocarbon nationalization in Latin America.pdf']
101,2017,"Blyth, Matthijs",Review of International Political Economy,"Black Swans, Lame Ducks, and the mystery of IPE's missing macroeconomy",article,y,y,,,"['Review of International Political Economy/2017 - Blyth, Matthijs - Black Swans Lame Ducks and the mystery of IPE s missing macroeconomy.pdf']"
102,2017,Schmidt,Review of International Political Economy,Britain-out and Trump-in: a discursive institutionalist analysis of the British referendum on the EU and the US presidential election,article,y,y,,,['Review of International Political Economy/2017 - Schmidt - Britain-out and Trump-in_ a discursive institutionalist analysis of the British referendum on the EU and the US presidential election.pdf']
103,2018,"Capelos, Katsanidou",Political Psychology,Reactionary Politics: Explaining the Psychological Roots of Anti Preferences in European Integration and Immigration Debates,article,y,y,,,"['Political Psychology/2018 - Capelos, Katsanidou - Reactionary Politics  Explaining the Psychological Roots of Anti Preferences in.pdf']"
104,2019,Golec de Zavala et al.,Political Psychology,Collective Narcissism: Political Consequences of Investing Self-Worth in the Ingroup’s Image,article,y,y,,,['Political Psychology/2019 - Golec de Zavala et al. - Collective Narcissism  Political Consequences of Investing Self‐Worth in.pdf']
105,2019,"Hall, Ross",Political Psychology,Rethinking Affective Experience and Popular Emotion: World War I and the Construction of Group Emotion in International Relations,article,y,y,,,"['Political Psychology/2019 - Hall, Ross - Rethinking Affective Experience and Popular Emotion  World War I and the Construction.pdf']"
106,2019,Rothmund et al.,Political Psychology,Justice for the People? How Justice Sensitivity Can Foster and Impair Support for Populist Radical-Right Parties and Politicians in the United States and in Germany,article,y,y,,,['Political Psychology/2019 - Rothmund et al. - Justice for the People  How Justice Sensitivity Can Foster and Impair Support for.pdf']
107,2019,Stanojevic et al.,Political Psychology,Good Workers and Crooked Bosses: The Effect of Voice Suppression by Supervisors on Employees’ Populist Attitudes and Voting,article,y,y,,,['Political Psychology/2019 - Stanojevic et al. - Good Workers and Crooked Bosses  The Effect of Voice Suppression by Supervisors.pdf']
108,2020,"Montiel, Uyheng",Political Psychology,Mapping Contentious Collective Emotions in a Populist Democracy: Duterte’s Push for Philippine Federalism,article,y,y,,,"['Political Psychology/2020 - Montiel, Uyheng - Mapping Contentious Collective Emotions in a Populist Democracy  Duterte s Push for.pdf']"
109,2020,Merkley,Public Opinion Quarterly,"Anti-Intellectualism, Populism, and Motivated Resistance to Expert Consensus",article,y,y,,,"['Public Opinion Quarterly/2020 - Merkley - Anti-Intellectualism, Populism and Motivated Resistance to Expert Consensus.pdf']"
110,2017,"Thielemann, Zaun",JCMS: Journal of Common Market Studies,Escaping Populism – Safeguarding Minority Rights: Non-majoritarian Dynamics in European Policy-making,article,y,y,,,"['JCMS Journal of Common Market Studies/2017 - Thielemann, Zaun - Escaping Populism   Safeguarding Minority Rights  Non‐majoritarian.pdf']"
111,2017,Zaun,JCMS: Journal of Common Market Studies,States as Gatekeepers in EU Asylum Politics: Explaining the Non-adoption of a Refugee Quota System,article,y,y,,,['JCMS Journal of Common Market Studies/2017 - Zaun - States as Gatekeepers in EU Asylum Politics  Explaining the Non‐adoption of a.pdf']
112,2018,Hix,JCMS: Journal of Common Market Studies,When Optimism Fails: Liberal Intergovernmentalism and Citizen Representation,article,y,y,,,['JCMS Journal of Common Market Studies/2018 - Hix - When Optimism Fails  Liberal Intergovernmentalism and Citizen Representation.pdf']
113,2017,"Spierings, Zaslove",West European Politics,"Gender, populist attitudes, and voting: explaining the gender gap in voting for populist radical right and populist radical left parties",article,y,y,,,"['West European Politics/2017 - Spierings, Zaslove - Gender populist attitudes and voting explaining the gender gap in voting for populist radical right and populist radical left parties.pdf']"
114,2019,"Bernhard, Kriesi",West European Politics,Populism in election times: a comparative analysis of 11 countries in Western Europe,article,y,y,,,"['West European Politics/2019 - Bernhard, Kriesi - Populism in election times a comparative analysis of 11 countries in Western Europe.pdf']"
115,2019,"Caiani, Graziano",West European Politics,Understanding varieties of populism in times of crises,article,y,y,,,"['West European Politics/2019 - Caiani, Graziano - nderstanding varieties of populism in times of crises.pdf']"
116,2019,"Caramani, Manucci",West European Politics,National past and populism: the re-elaboration of fascism and its impact on right-wing populism in Western Europe,article,y,y,,,"['West European Politics/2019 - Caramani, Manucci - National past and populism the re elaboration of fascism and its impact on right wing populism in Western Europe.pdf']"
117,2019,Lisi et al.,West European Politics,"Economic crisis and the variety of populist response: evidence from Greece, Portugal and Spain",article,y,y,,,['West European Politics/2019 - Lisi et al. - Economic crisis and the variety of populist response evidence from Greece Portugal and Spain.pdf']
118,2019,Lutz,West European Politics,Variation in policy success: radical right populism and migration policy,article,y,y,,,['West European Politics/2019 - Lutz - Variation in policy success radical right populism and migration policy.pdf']
119,2019,"Nai, Martínez i Coma",West European Politics,"The personality of populists: provocateurs, charismatic leaders, or drunken dinner guests?",article,y,y,,,"['West European Politics/2019 - Nai, Martínez i Coma - The personality of populists provocateurs charismatic leaders or drunken dinner guests.pdf']"
120,2019,Surel,West European Politics,How to stay populist? The Front National and the changing French party system,article,y,y,,,['West European Politics/2019 - Surel - How to stay populist The Front National and the changing French party system.pdf']
121,2019,Usherwood,West European Politics,Shooting the fox? UKIP’s populism in the post-Brexit era,article,y,y,,,['West European Politics/2019 - Usherwood - Shooting the fox UKIP s populism in the post Brexit era.pdf']
122,2020,"Adler, Ansell",West European Politics,Housing and populism,article,y,y,,,"['West European Politics/2020 - Adler, Ansell - Housing and populism.pdf']"
123,2020,Arter,West European Politics,When a pariah party exploits its demonised status: the 2019 Finnish general election,article,y,y,,,['West European Politics/2020 - Arter - When a pariah party exploits its demonised status the 2019 Finnish general election.pdf']
124,2020,"Helbling, Jungkunz",West European Politics,Social divides in the age of globalization,article,y,y,,,"['West European Politics/2020 - Helbling, Jungkunz - Social divides in the age of globalization.pdf']"
125,2020,Marcos-Marne et al.,West European Politics,"Who votes for new parties? Economic voting, political ideology and populist attitudes",article,y,y,,,['West European Politics/2020 - Marcos-Marne et al. - Who votes for new parties Economic voting political ideology and populist attitudes.pdf']
126,2020,Wuttke,West European Politics,New political parties through the voters’ eyes,article,y,y,,,['West European Politics/2020 - Wuttke - New political parties through the voters eyes.pdf']
