,word,count
155,expression,48
156,hand,48
157,lead,48
158,relation,47
159,interest,47
160,consequence,47
161,allow,47
162,hypothesis,46
163,result,46
164,manifestation,46
165,association,46
166,sense,46
167,variable,46
168,deal,46
169,supporter,45
170,correlate,44
171,state,44
172,basis,44
173,kind,44
174,system,44
175,call,44
176,turn,43
177,response,43
178,decade,43
179,radical-right,43
180,conceptualize,42
181,current,42
182,ground,42
183,year,42
184,conceptualization,41
185,logic,41
186,compare,41
187,indicate,41
188,change,41
189,scholar,41
190,contain,40
191,agree,40
192,work,40
193,version,40
194,potential,40
195,demonstrate,39
196,concern,39
197,explanation,39
198,reaction,39
199,particular,39
200,distinction,39
201,surge,39
202,wave,39
203,phenomenon,39
204,conceive,38
205,perspective,38
206,message,38
207,interpretation,38
208,illiberal,38
209,typical,38
210,nativism,38
211,modern,38
212,pretreatment,38
213,rightwing,37
214,apply,37
215,assess,37
216,category,37
217,institution,37
218,thin,37
219,present,36
220,individual,36
221,target,36
222,embrace,36
223,classify,36
224,nativist,36
225,identity,36
226,transnational,36
227,official,36
228,connection,35
229,value,35
230,respond,35
231,society,35
232,mainstream,35
233,common,35
234,national,35
235,discussion,35
236,express,34
237,make,34
238,table,34
239,characterize,34
240,think,34
241,inclusionary,34
242,implication,33
243,conservative,33
244,typology,33
245,opposition,33
246,argument,33
247,citizen,32
248,score,32
249,development,32
250,follow,32
251,style,31
252,moderate,31
253,representation,31
254,century,31
255,scholarship,31
256,interaction,31
257,treat,31
258,rely,30
259,actor,30
260,structure,30
261,central,30
262,reference,30
263,rentier,30
264,politician,30
265,problem,30
266,emerge,30
267,finally,30
268,articulate,30
269,radical-left,30
270,variant,29
271,articulation,29
272,inﬂuence,29
273,expectation,28
274,base,28
275,cause,28
276,rule,28
277,opportunity,28
278,force,28
279,social,28
280,conclude,28
281,clear,28
282,conceptualisation,28
283,evidence,27
284,driver,27
285,low,27
286,take,27
287,character,27
288,root,27
289,far-right,27
290,practice,27
291,code,27
292,analyse,27
293,regard,26
294,predict,26
295,imply,26
296,today,26
297,shape,26
298,technocratic,26
299,experience,26
300,brand,26
301,rightist,26
302,index,26
303,ideational,26
304,speak,25
305,critique,25
306,agrarian,25
307,construct,25
308,image,25
309,wing,25
310,set,25
311,electorate,25
312,general,25
313,pattern,25
314,probability,25
315,candidate,25
316,connect,25
317,charismatic,24
318,group,24
319,process,24
320,comparison,24
321,anti-establishment,24
322,reveal,24
323,democratic,24
324,coalition,24
325,order,24
326,establishment,24
327,capture,24
328,strongly,24
329,refer,23
330,foundation,23
331,attribute,23
332,complete,23
333,sovereignty,23
334,strength,23
335,fuel,23
336,similar,23
337,subtype,23
338,adoption,23
339,influence,22
340,number,22
341,introduction,22
342,constitute,22
343,correlation,22
344,develop,22
345,finding,22
346,history,22
347,campaign,22
348,action,22
349,equate,22
350,test,22
351,important,22
352,agenda,22
353,true,22
354,possibility,22
355,leadership,22
356,period,22
357,popular,22
358,accept,21
359,feed,21
360,represent,21
361,euroscepticism,21
362,observe,21
363,respect,21
364,mechanism,21
365,language,21
366,nation,21
367,immigration,21
368,space,21
369,meaning,21
370,maintain,21
371,subject,21
372,determine,21
373,percentage,21
374,furthermore,20
375,possible,20
376,specific,20
377,average,20
378,operationalization,20
379,threat,20
380,highlight,20
381,essence,20
382,propose,20
383,conclusion,20
384,exist,20
385,drive,20
386,mobilize,20
387,particularly,20
388,enable,20
389,narrative,20
390,eﬀect,20
391,come,20
392,performance,20
393,clearly,20
394,enemy,20
395,bring,20
396,formation,20
397,personality,20
398,increasingly,20
399,characterise,20
400,governance,20
401,behaviour,20
402,quality,20
403,ﬁnd,20
404,investigate,19
405,interpret,19
406,scale,19
407,instead,19
408,long,19
409,combination,19
410,available,19
411,dynamic,19
412,source,19
413,perception,19
414,classical,19
415,victory,19
416,fall,19
417,,19
418,face,19
419,establish,19
420,mobilization,19
421,choice,19
422,favour,19
423,islamic,19
424,inclusive,19
425,polyvalent,19
426,place,18
427,likely,18
428,spread,18
429,analyze,18
430,origin,18
431,discontent,18
432,pp,18
433,range,18
434,exclude,18
435,function,18
436,early,18
437,regime,18
438,classic,18
439,liberal,18
440,ethnic,18
441,frame,18
442,elitist,18
443,variation,18
444,tension,18
445,classiﬁe,18
446,attention,17
447,statement,17
448,activate,17
449,vulnerable,17
450,communication,17
451,distribution,17
452,anti-elitist,17
453,reject,17
454,appear,17
455,diffusion,17
456,limit,17
457,specifically,17
458,explore,17
459,elitism,17
460,moment,17
461,oppose,17
462,outsider,17
463,factor,17
464,strand,17
465,pure,17
466,good,17
467,eurosceptic,17
468,genuine,17
469,latent,16
470,affect,16
471,technocracy,16
472,assumption,16
473,line,16
474,economy,16
475,draw,16
476,project,16
477,know,16
478,so-called,16
479,boom,16
480,leftwe,16
481,stress,16
482,resort,16
483,play,16
484,italian,16
485,underlie,16
486,control,16
487,distinct,16
488,tendency,16
489,susceptible,16
490,look,16
491,centrist,16
492,activation,16
493,perceive,15
494,anti-elitism,15
495,believe,15
496,far,15
497,legitimacy,15
498,determinant,15
499,especially,15
500,domestic,15
501,exhibit,15
502,importance,15
503,attract,15
504,absence,15
505,engage,15
506,left-leaning,15
507,unlike,15
508,run,15
509,provide,15
510,contestation,15
511,shift,15
512,end,15
513,small,15
514,away,15
515,coding,15
516,spectrum,15
517,classification,15
518,predictor,15
519,framework,15
520,stance,15
521,reduce,15
522,prospect,15
523,regionalist,15
524,electoral,15
525,emphasize,15
526,adhere,14
527,foster,14
528,relevant,14
529,attack,14
530,differ,14
531,separate,14
532,count,14
533,homepage,14
534,figure,14
535,inclusion,14
536,addition,14
537,broad,14
538,age,14
539,traditional,14
540,polarization,14
541,resurgence,14
542,linkage,14
543,existence,14
544,precisely,14
545,prefer,14
546,trigger,14
547,generate,14
548,evolution,14
549,catch-all,14
550,past,14
551,assessment,14
552,consensus,14
553,accusation,14
554,highly,14
555,accuse,14
556,thick,14
557,usage,14
558,epistemic,14
559,rights-oriented,14
560,operationalize,13
561,construction,13
562,inherent,13
563,voice,13
564,trust,13
565,agreement,13
566,cleavage,13
567,weak,13
568,family,13
569,prototypical,13
570,salience,13
571,region,13
572,antidemocratic,13
573,tool,13
574,datum,13
575,outcome,13
576,help,13
577,create,13
578,community,13
579,stage,13
580,transformation,13
581,phenomena,13
582,failure,13
583,key,13
584,say,13
585,discuss,13
586,genus,13
587,conceptualise,13
588,cultural,13
589,pragmatic,13
590,disagree,13
591,moderately,13
592,territorialization,13
593,main,13
594,ﬁeld,13
595,light,12
596,criticism,12
597,categorize,12
598,consequently,12
599,hungarian,12
600,address,12
601,popularity,12
602,evident,12
603,relevance,12
604,insight,12
605,compete,12
606,open,12
607,pursue,12
608,odd,12
609,contribute,12
610,competition,12
611,growth,12
612,occur,12
613,choose,12
614,constituency,12
615,course,12
616,divide,12
617,hybrid,12
618,polity,12
619,participation,12
620,need,12
621,sentiment,12
622,advantage,12
623,trait,12
624,consideration,12
625,add,12
626,alliance,12
627,recently,12
628,rate,12
629,global,12
630,era,12
631,globalization,12
632,non-populist,12
633,opposite,12
634,consequences,12
635,bad,12
636,differentiate,12
637,neo-liberal,12
638,indicator,11
639,online,11
640,importantly,11
641,mention,11
642,overall,11
643,subdimension,11
644,conduct,11
645,antagonism,11
646,world,11
647,confront,11
648,prevalence,11
649,reflect,11
650,emphasis,11
651,facet,11
652,close,11
653,overlap,11
654,defeat,11
655,accordingly,11
656,interestingly,11
657,appearance,11
658,old,11
659,persistence,11
660,portray,11
661,socialism,11
662,necessarily,11
663,promote,11
664,prompt,11
665,affinity,11
666,matter,11
667,contradiction,11
668,coherent,11
669,hypothesize,11
670,market,11
671,assert,11
672,speciﬁc,11
673,tend,11
674,propensity,11
675,accommodate,11
676,embed,11
677,theme,11
678,international,11
679,reactionary,11
680,extreme,11
681,bust,11
682,progressive,11
683,responsibility-oriented,11
684,generally,10
685,prone,10
686,immigrant,10
687,commonality,10
688,property,10
689,majority,10
690,upsurge,10
691,sum,10
692,little,10
693,audience,10
694,deliver,10
695,field,10
696,item,10
697,remain,10
698,acknowledge,10
699,liberalism,10
700,favor,10
701,short,10
702,situation,10
703,exception,10
704,offer,10
705,behavior,10
706,inequality,10
707,tradition,10
708,identification,10
709,contribution,10
710,emotion,10
711,programme,10
712,distance,10
713,description,10
714,manner,10
715,attach,10
716,display,10
717,similarly,10
718,genuinely,10
719,identiﬁed,10
720,limited,10
721,tone,10
722,categorise,10
723,talk,10
724,individual-level,10
725,engagement,10
726,theorist,10
727,manifesto,10
728,render,10
729,inclined,10
730,ambiguity,10
731,original,10
732,presidential,10
733,rational,10
734,thickening,10
735,coverage,9
736,platform,9
737,et,9
738,comment,9
739,differently,9
740,promise,9
741,similarity,9
742,minority,9
743,introduce,9
744,happen,9
745,endorse,9
746,leftwing,9
747,large,9
748,reinforce,9
749,govern,9
750,incorporate,9
751,profile,9
752,advance,9
753,polish,9
754,western,9
755,cast,9
756,goal,9
757,recent,9
758,well,9
759,opponent,9
760,transform,9
761,extremist,9
762,norm,9
763,path,9
764,accountability,9
765,section,9
766,partisanship,9
767,distinctive,9
768,radicalism,9
769,local,9
770,corruption,9
771,list,9
772,recognise,9
773,involve,9
774,heart,9
775,recognize,9
776,suppression,9
777,perform,9
778,trajectory,9
779,capacity,9
780,danger,9
781,qualified,9
782,write,9
783,advocate,9
784,imagine,9
785,illustrate,9
786,evaluate,9
787,hegemony,9
788,avoid,9
789,pose,9
790,grassroot,9
791,fascism,9
792,orientation,9
793,alternative,9
794,move,9
795,ambivalence,9
796,exclusion,9
797,president,9
798,switch,9
799,insist,9
800,trend,9
801,integral,9
802,abstraction,9
803,denounce,9
804,application,9
805,steal,9
806,regionalism,9
807,contextual,9
808,religion,9
809,mainstreamed,9
810,prominence,8
811,direct,8
812,ally,8
813,reach,8
814,persuasiveness,8
815,p,8
816,translate,8
817,speciﬁcity,8
818,contrary,8
819,sample,8
820,genre,8
821,cue,8
822,disentangle,8
823,gap,8
824,despite,8
825,resource,8
826,knowledge,8
827,anti-elite,8
828,bias,8
829,compatible,8
830,center,8
831,right-leaning,8
832,easy,8
833,generation,8
834,resist,8
835,counter,8
836,risk,8
837,interact,8
838,facilitate,8
839,fail,8
840,dutch,8
841,xenophobic,8
842,fit,8
843,direction,8
844,major,8
845,overcome,8
846,authority,8
847,scope,8
848,incumbent,8
849,office,8
850,future,8
851,polarize,8
852,battle,8
853,escape,8
854,win,8
855,thesis,8
856,grievance,8
857,denominator,8
858,estimate,8
859,posit,8
860,researcher,8
861,supportive,8
862,blame,8
863,anger,8
864,mobilisation,8
865,People,8
866,consolidation,8
867,immune,8
868,welfare,8
869,tenet,8
870,let,8
871,hallmark,8
872,simplicity,8
873,sector,8
874,qualify,8
875,sign,8
876,tap,8
877,signiﬁcant,8
878,redistribution,8
879,classiﬁcation,8
880,conﬂict,8
881,locus,8
882,paradox,8
883,raise,8
884,demagogue,8
885,orient,8
886,paper,8
887,latin-american,8
888,newspaper,8
889,inside,8
890,β,8
891,chinese,8
892,universe,8
893,exposure,7
894,expose,7
895,act,7
896,unclear,7
897,se,7
898,communicate,7
899,occurrence,7
900,cover,7
901,antiestablishment,7
902,proposition,7
903,speciﬁcally,7
904,strengthening,7
905,overtly,7
906,substance,7
907,allegedly,7
908,gender,7
909,produce,7
910,organization,7
911,espouse,7
912,respondent,7
913,assign,7
914,push,7
915,rival,7
916,law,7
917,presidency,7
918,one,7
919,heritage,7
920,anti-european,7
921,referendum,7
922,capitalism,7
923,benefit,7
924,pressure,7
925,return,7
926,transition,7
927,legacy,7
928,beat,7
929,ignore,7
930,utilize,7
931,check,7
932,recession,7
933,essentially,7
934,depend,7
935,belief,7
936,thinking,7
937,culture,7
938,familiar,7
939,parliament,7
940,broadly,7
941,socialist,7
942,afd,7
943,likelihood,7
944,slightly,7
945,certain,7
946,doubt,7
947,fascist,7
948,vary,7
949,speech,7
950,big,7
951,globalisation,7
952,terrain,7
953,peril,7
954,pre-existing,7
955,precondition,7
956,underline,7
957,grassroots,7
958,discursive,7
959,build,7
960,relatively,7
961,purpose,7
962,turnout,7
963,active,7
964,ability,7
965,insecurity,7
966,arguably,7
967,tame,7
968,critic,7
969,book,7
970,representative,7
971,channel,7
972,underpinning,7
973,dominant,7
974,allege,7
975,partisan,7
976,fundamental,7
977,conﬂate,7
978,contentious,7
979,challenger,7
980,competitive,7
981,connotation,7
982,actual,7
983,rethink,7
984,exclusive,7
985,protectionism,7
986,specificity,7
987,accompany,7
988,subgame,7
989,constitutive,7
990,dismiss,7
991,keywords,7
992,picture,7
993,penal,7
994,paternalist,7
995,information,6
996,area,6
997,journalist,6
998,experiment,6
999,environment,6
1000,manifest,6
1001,incite,6
1002,report,6
1003,notably,6
1004,answer,6
1005,thing,6
1006,specify,6
1007,population,6
1008,grow,6
1009,abstract,6
1010,ﬁt,6
1011,exclusively,6
1012,die,6
1013,select,6
1014,distrust,6
1015,agreeableness,6
1016,user,6
1017,publish,6
1018,yes,6
1019,object,6
1020,postulate,6
1021,member,6
1022,union,6
1023,flexibility,6
1024,incompatible,6
1025,alongside,6
1026,gauge,6
1027,dimensionality,6
1028,personalism,6
1029,sustain,6
1030,collapse,6
1031,versus,6
1032,begin,6
1033,powerful,6
1034,freedom,6
1035,division,6
1036,constraint,6
1037,proposal,6
1038,life,6
1039,anti-immigrant,6
1040,arise,6
1041,serve,6
1042,soon,6
1043,court,6
1044,option,6
1045,blend,6
1046,live,6
1047,great,6
1048,wonder,6
1049,fourth,6
1050,greek,6
1051,topic,6
1052,arena,6
1053,later,6
1054,diversity,6
1055,pillar,6
1056,signiﬁcance,6
1057,host-ideology,6
1058,antecedent,6
1059,evaluation,6
1060,principle,6
1061,ask,6
1062,single,6
1063,validity,6
1064,negative,6
1065,confuse,6
1066,learn,6
1067,exactly,6
1068,inform,6
1069,implement,6
1070,manipulation,6
1071,opinion,6
1072,enhance,6
1073,outlook,6
1074,comparative,6
1075,criterion,6
1076,reasoning,6
1077,boundary,6
1078,n,6
1079,sort,6
1080,stay,6
1081,housing,6
1082,widespread,6
1083,prominent,6
1084,erosion,6
1085,internal,6
1086,want,6
1087,strengthen,6
1088,tell,6
1089,put,6
1090,hinder,6
1091,pluralism,6
1092,empirically,6
1093,acquire,6
1094,author,6
1095,intense,6
1096,archetypal,6
1097,governing,6
1098,scene,6
1099,reading,6
1100,heartland,6
1101,prove,6
1102,integration,6
1103,situate,6
1104,circumstance,6
1105,outside,6
1106,trace,6
1107,predominantly,6
1108,locate,6
1109,grasp,6
1110,summary,6
1111,maverick,6
1112,full-blown,6
1113,underpin,6
1114,effectiveness,6
1115,charisma,6
1116,consistent,6
1117,react,6
1118,explicitly,6
1119,puzzle,6
1120,replace,6
1121,adapt,6
1122,student,6
1123,mark,6
1124,permission,6
1125,distinctiveness,6
1126,AfD,6
1127,resilience,6
1128,contention,6
1129,deem,6
1130,ascertain,6
1131,soft,6
1132,british,6
1133,identiﬁable,6
1134,religious,6
1135,ˇ,6
1136,dominance,6
1137,intention,6
1138,program,6
1139,concrete,6
1140,mediatized,6
1141,reﬂexive,6
1142,conﬂation,6
1143,diagnosis,6
1144,appropriation,6
1145,clientelism,6
1146,crass,6
1147,depict,5
1148,preexist,5
1149,disseminate,5
1150,correspond,5
1151,operate,5
1152,dissemination,5
1153,resonate,5
1154,expert,5
1155,expertise,5
1156,reality,5
1157,utility,5
1158,reﬂecte,5
1159,resistant,5
1160,agency,5
1161,antielitist,5
1162,framing,5
1163,size,5
1164,supply-side,5
1165,critical,5
1166,gain,5
1167,clash,5
1168,constrain,5
1169,credential,5
1170,bolivarian,5
1171,nationalistic,5
1172,found,5
1173,multiculturalism,5
1174,side,5
1175,radicalright,5
1176,conversely,5
1177,solution,5
1178,crucial,5
1179,dissent,5
1180,previous,5
1181,surprising,5
1182,divisive,5
1183,motivate,5
1184,premise,5
1185,vision,5
1186,intellectual,5
1187,game,5
1188,fight,5
1189,unite,5
1190,ripe,5
1191,unique,5
1192,survey,5
1193,declare,5
1194,evil,5
1195,overview,5
1196,credibility,5
1197,zero,5
1198,significantly,5
1199,translation,5
1200,meet,5
1201,conflate,5
1202,susceptibility,5
1203,equality,5
1204,episode,5
1205,treatment,5
1206,fringe,5
1207,characteristically,5
1208,intervention,5
1209,mass,5
1210,resurgent,5
1211,employee,5
1212,variance,5
1213,fuse,5
1214,text,5
1215,woman,5
1216,operationalise,5
1217,somewhat,5
1218,reliance,5
1219,magnitude,5
1220,confirm,5
1221,intensity,5
1222,repertoire,5
1223,start,5
1224,lose,5
1225,particularity,5
1226,salient,5
1227,emphasise,5
1228,utilise,5
1229,responsive,5
1230,breed,5
1231,outline,5
1232,keep,5
1233,viable,5
1234,pronounce,5
1235,assertion,5
1236,register,5
1237,frequency,5
1238,step,5
1239,absent,5
1240,forward,5
1241,resistance,5
1242,block,5
1243,date,5
1244,recourse,5
1245,diﬀerent,5
1246,hierarchy,5
1247,proﬁle,5
1248,de,5
1249,activity,5
1250,thrust,5
1251,feel,5
1252,security,5
1253,interested,5
1254,dispute,5
1255,redistribute,5
1256,lean,5
1257,read,5
1258,publication,5
1259,service,5
1260,republicanism,5
1261,domain,5
1262,abandon,5
1263,vehicle,5
1264,motivation,5
1265,effective,5
1266,reﬂect,5
1267,contest,5
1268,defect,5
1269,historically,5
1270,revolution,5
1271,chauvinism,5
1272,inclination,5
1273,simply,5
1274,theorisation,5
1275,ideological,5
1276,clarify,5
1277,lens,5
1278,conflict,5
1279,axis,5
1280,requirement,5
1281,equilibrium,5
1282,regression,5
1283,fellow,5
1284,macroeconomic,5
1285,irresponsible,5
1286,distinctively,5
1287,multi-level,5
1288,seek,5
1289,theorization,5
1290,teach,5
1291,building,5
1292,insofar,5
1293,ascribe,5
1294,intellectualism,5
1295,appetite,5
1296,aside,4
1297,originator,4
1298,mind,4
1299,event,4
1300,dummy,4
1301,amplify,4
1302,surround,4
1303,match,4
1304,ﬁnding,4
1305,justify,4
1306,insurgent,4
1307,euroskeptic,4
1308,rejection,4
1309,non-radical,4
1310,post,4
1311,page,4
1312,generic,4
1313,significant,4
1314,antielite,4
1315,subset,4
1316,visibility,4
1317,influential,4
1318,essential,4
1319,doi,4
1320,dominate,4
1321,person,4
1322,anti-politics,4
1323,assignment,4
1324,marginalize,4
1325,struggle,4
1326,survive,4
1327,plausible,4
1328,judiciary,4
1329,antiliberal,4
1330,counterweight,4
1331,editor,4
1332,cycle,4
1333,contend,4
1334,science,4
1335,opening,4
1336,apart,4
1337,fear,4
1338,antidote,4
1339,embody,4
1340,seat,4
1341,suppose,4
1342,design,4
1343,send,4
1344,wake,4
1345,fire,4
1346,echo,4
1347,obvious,4
1348,legitimize,4
1349,manipulate,4
1350,stem,4
1351,witness,4
1352,encourage,4
1353,differentiation,4
1354,multiple,4
1355,parcel,4
1356,formulate,4
1357,mainly,4
1358,demand-side,4
1359,inspiration,4
1360,integrate,4
1361,persuade,4
1362,deploy,4
1363,decision,4
1364,epistemological,4
1365,boost,4
1366,align,4
1367,education,4
1368,objective,4
1369,protest,4
1370,hostility,4
1371,xenophobia,4
1372,worldwide,4
1373,quo,4
1374,policy-making,4
1375,thin-centred,4
1376,illustration,4
1377,total,4
1378,extreme-right,4
1379,pervasiveness,4
1380,proponent,4
1381,extremism,4
1382,anti-populist,4
1383,sensitivity,4
1384,exert,4
1385,valence,4
1386,politicization,4
1387,robust,4
1388,afﬁnity,4
1389,attempt,4
1390,cultivate,4
1391,wisdom,4
1392,extensively,4
1393,succeed,4
1394,heavily,4
1395,setting,4
1396,la,4
1397,immunity,4
1398,brazilian,4
1399,anti-liberal,4
1400,discern,4
1401,conducive,4
1402,breakthrough,4
1403,status,4
1404,shall,4
1405,cut,4
1406,emergent,4
1407,depiction,4
1408,anathema,4
1409,paradigm,4
1410,geography,4
1411,impression,4
1412,late,4
1413,aware,4
1414,commentator,4
1415,concerned,4
1416,virtuous,4
1417,inventory,4
1418,real,4
1419,creation,4
1420,promotion,4
1421,complex,4
1422,deny,4
1423,go,4
1424,signiﬁcantly,4
1425,relative,4
1426,instrument,4
1427,actually,4
1428,stimulus,4
1429,receptive,4
1430,conservatism,4
1431,trope,4
1432,sustained,4
1433,anti-democratic,4
1434,head,4
1435,impede,4
1436,coup,4
1437,non-contestation,4
1438,threaten,4
1439,observation,4
1440,commitment,4
1441,operation,4
1442,frustration,4
1443,adjective,4
1444,exploration,4
1445,discriminate,4
1446,aim,4
1447,beginning,4
1448,perfectly,4
1449,contour,4
1450,predominant,4
1451,convergence,4
1452,austerity,4
1453,examination,4
1454,6-item,4
1455,ultimately,4
1456,celebrity,4
1457,redefine,4
1458,exercise,4
1459,left-libertarian,4
1460,resemble,4
1461,alleged,4
1462,apparently,4
1463,anti-political,4
1464,endorsement,4
1465,additionally,4
1466,letter,4
1467,tabloid,4
1468,relegate,4
1469,uphold,4
1470,intrinsic,4
1471,incentive,4
1472,selection,4
1473,reflection,4
1474,phase,4
1475,enact,4
1476,disposal,4
1477,decline,4
1478,microdynamic,4
1479,masse,4
1480,quarrel,4
1481,agent,4
1482,beast,4
1483,restrain,4
1484,pronounced,4
1485,comprise,4
1486,post-modern,4
1487,equation,4
1488,identiﬁcation,4
1489,battery,4
1490,center-periphery,4
1491,designation,4
1492,counterexample,4
1493,territoriality,4
1494,truth,4
1495,truly,4
1496,catalyst,4
1497,radically,4
1498,designate,4
1499,restrict,4
1500,reclaim,4
1501,janus-faced,4
1502,potentially,4
1503,paternalistic,4
1504,dismissal,4
1505,false,4
1506,analyst,4
1507,reorientation,4
1508,rural,4
1509,rebut,4
1510,regressive,4
1511,white,4
1512,unusual,3
1513,reside,3
1514,authoritativeness,3
1515,zeitgeist,3
1516,frequent,3
1517,induce,3
1518,mediate,3
1519,easily,3
1520,propagate,3
1521,convey,3
1522,proliferation,3
1523,distant,3
1524,accident,3
1525,procedure,3
1526,ﬁve,3
1527,adaptation,3
1528,aggregate,3
1529,aggregated,3
1530,derive,3
1531,altogether,3
1532,denunciation,3
1533,brexit,3
1534,tie,3
1535,estimation,3
1536,valid,3
1537,male,3
1538,proportion,3
1539,shade,3
1540,exclusionist,3
1541,independent,3
1542,thin-centered,3
1543,phrase,3
1544,theorize,3
1545,cooperation,3
1546,alignment,3
1547,surprisingly,3
1548,purely,3
1549,enjoy,3
1550,worldview,3
1551,r,3
1552,hinge,3
1553,neoliberalism,3
1554,predominance,3
1555,tactic,3
1556,moderation,3
1557,aid,3
1558,putinism,3
1559,stake,3
1560,essay,3
1561,standard,3
1562,player,3
1563,democratization,3
1564,center-left,3
1565,percent,3
1566,fodder,3
1567,cry,3
1568,accession,3
1569,embolden,3
1570,credible,3
1571,priority,3
1572,evolve,3
1573,story,3
1574,split,3
1575,ruling,3
1576,break,3
1577,convinced,3
1578,backbone,3
1579,pasok,3
1580,champion,3
1581,institutionalized,3
1582,pathway,3
1583,endure,3
1584,pull,3
1585,architect,3
1586,independence,3
1587,constitution,3
1588,largely,3
1589,catch,3
1590,forge,3
1591,intensify,3
1592,lack,3
1593,undercut,3
1594,prior,3
1595,endurance,3
1596,extend,3
1597,reliant,3
1598,professional,3
1599,non-mainstream,3
1600,idiosyncratic,3
1601,belgian,3
1602,cynicism,3
1603,sensitive,3
1604,heterogeneous,3
1605,directly,3
1606,bond,3
1607,prediction,3
1608,niche,3
1609,opt,3
1610,contributor,3
1611,theorise,3
1612,positive,3
1613,specification,3
1614,proxy,3
1615,decrease,3
1616,statistic,3
1617,inspire,3
1618,multitude,3
1619,public,3
1620,competence,3
1621,typically,3
1622,positively,3
1623,consequential,3
1624,review,3
1625,reformist,3
1626,trump,3
1627,psychology,3
1628,business,3
1629,income,3
1630,extension,3
1631,fusion,3
1632,nexus,3
1633,predisposition,3
1634,shield,3
1635,prevent,3
1636,man,3
1637,consistently,3
1638,operationalisation,3
1639,indication,3
1640,refrain,3
1641,expansion,3
1642,simultaneously,3
1643,rank,3
1644,redistributive,3
1645,weight,3
1646,intuition,3
1647,ensure,3
1648,undoubtedly,3
1649,singularity,3
1650,worker,3
1651,fox,3
1652,crucially,3
1653,centre,3
1654,mobilise,3
1655,abroad,3
1656,responsibility,3
1657,homogenous,3
1658,anti-pluralist,3
1659,suppress,3
1660,resonance,3
1661,primary,3
1662,advantageous,3
1663,neutralize,3
1664,simple,3
1665,libertarian,3
1666,notable,3
1667,quote,3
1668,behave,3
1669,diﬀerentiate,3
1670,backlash,3
1671,survival,3
1672,dictatorship,3
1673,coincide,3
1674,obstacle,3
1675,succumb,3
1676,scoring,3
1677,warning,3
1678,limitation,3
1679,segment,3
1680,egalitarian,3
1681,suggestion,3
1682,join,3
1683,clear-cut,3
1684,extremely,3
1685,suspicion,3
1686,network,3
1687,marry,3
1688,intersect,3
1689,environmental,3
1690,collection,3
1691,imaginary,3
1692,pipeline,3
1693,unity,3
1694,invoke,3
1695,invocation,3
1696,ecology,3
1697,exacerbate,3
1698,arouse,3
1699,spirit,3
1700,antithetical,3
1701,pertain,3
1702,symptom,3
1703,nonpopulist,3
1704,cent,3
1705,coefficient,3
1706,miss,3
1707,spending,3
1708,supposedly,3
1709,deployment,3
1710,symposium,3
1711,prevalent,3
1712,qua,3
1713,afﬁnitie,3
1714,parallel,3
1715,counterpart,3
1716,mantle,3
1717,classically,3
1718,equally,3
1719,impossible,3
1720,remnant,3
1721,virtue,3
1722,arm,3
1723,defend,3
1724,hope,3
1725,collaboration,3
1726,diminish,3
1727,ontology,3
1728,device,3
1729,post-communist,3
1730,personal,3
1731,provoke,3
1732,banner,3
1733,complexity,3
