;title;year;conc;poptype
16;Weyland 2020;2020;['liberal', 'pluralism', 'danger', 'root', 'nature', 'populism', 'analysis', 'regime', 'impact', 'populist', 'leaders2', 'deﬁnes', 'populism', 'political', 'strategy', 'personalistic', 'leader', 'seek', 'exercise', 'government'];authoritatian
17;Weyland 2020;2020;['democratic', 'involution', 'institutional', 'weakness', 'crucial', 'permissive', 'cause', 'backsliding', 'promote', 'populist', 'politician', 'conversely', 'institutional', 'strength', 'stickiness', 'protect', 'liberal', 'pluralism', 'course', 'institution'];authoritatian
18;Weyland 2020;2020;['threat', 'democracy', 'arise', 'type', 'institutional', 'weakness', 'two', 'section', 'examine', 'experience', 'populist', 'leader', 'try', 'pursue', 'goal', 'take', 'advantage', 'two', 'feasible', 'avenue'];authoritatian
19;Weyland 2020;2020;['weak', 'check', 'balance', 'Eastern_Europe', 'majoritarian', 'democracy', 'Bogaards', '2018', '1490', 'Magyar', 'populist', 'advance', 'ease', 'give', 'perfect', 'legality', 'machination', 'the_European_Union', 'prove', 'unable'];authoritatian
20;Weyland 2020;2020;['opening', 'provide', 'parliamentarism', 'fairly', 'ﬂexible', 'constitution', 'Yegen', '2017', 'interestingly', 'turkish', 'populist', 'ﬁrst', 'establish', 'domestic', 'international', 'legitimacy', 'islamist', 'government', 'initially', 'promote'];moderate
21;Weyland 2020;2020;['2019', 'similarly', 'multi-party', 'coalition', 'government', 'Fico', 'Slovakia', 'trample', 'liberal', 'populist', 'leader', 'unseat', 'opposition-led', 'mass', 'protest', '2018', 'czech', 'Prime', 'Minister', 'Babiš'];right-wing
22;Weyland 2020;2020;['enable', 'imposition', 'new', 'institutional', 'framework', 'weak', 'safeguard', 'strong', 'majoritarianism', 'tailor-made', 'populist', 'Levitsky', '2013', 'Weyland', '2013', 'effort', 'force', 'institutional', 'transformation', 'particularly'];authoritatian
23;Weyland 2020;2020;['country', 'hold', 'new', 'presidential', 'election', 'emerge', 'irregular', 'situation', 'Argentina', 'populist', 'Menem', 'crass', 'overuse', 'decree', 'power', 'rein', 'constitutional', 'reform', '1994', 'effort'];neoliberal
24;Weyland 2020;2020;['limit', '2012', 'massive', 'opposition', 'protest', 'low', 'popularity', 'rating', 'block', 'numerous', 'populist', 'president', 'Latin_America', 'manage', 'force', 'powerconcentrate', 'institutional', 'reform', 'pave', 'way'];authoritatian
25;Weyland 2020;2020;['president', 'Latin_America', 'manage', 'force', 'powerconcentrate', 'institutional', 'reform', 'pave', 'way', 'populist', 'frequent', 'failure', 'concentrate', 'power', 'destroy', 'democracy', 'remarkable', 'latin_american', 'country', 'personalistic'];authoritatian
26;Weyland 2020;2020;['occur', 'suffer', 'particular', 'institutional', 'weakness', 'Latin_America_’s', 'recent', 'wave', 'bolivarian', 'populist', 'gradually', 'suffocate', 'democracy', 'Levitsky', '2013', 'Weyland', '2013', 'emerge', 'country', 'especially'];left-wing
27;Weyland 2020;2020;['institution', 'limited', 'resilience', 'hinder', 'dismantling', 'check', 'balance', 'imposition', 'undemocratic', 'hegemony', 'populist', 'chief', 'executive', 'manage', 'overcome', 'institutional', 'constraint', 'beneﬁte', 'exogenous', 'opportunity'];authoritatian
28;Weyland 2020;2020;['weakness', 'parliamentary', 'system', 'case', 'high', 'instability', 'single', 'shock––though', 'two', 'different', 'populist', 'leader', 'contrast', 'polity', 'intermediate', 'resilience', 'presidential', 'system', 'susceptible', 'paralegal'];authoritatian
29;Weyland 2020;2020;['require', 'impose', 'constitutional', 'change', 'polity', 'intermediate', 'institutional', 'strength', 'Peru', 'descent', 'populist', 'unique', 'like', 'Fujimori', 'Brazil', 'Collor', 'win', 'presidency', 'hyperinﬂationary', 'surge'];authoritatian
30;Weyland 2020;2020;['victory', 'vote', 'ﬁnally', 'hold', '2004', 'contrast', 'Gutiérrez', 'follow', 'Chávez', 'bolivarian', 'populism', 'win', 'Ecuador', 'presidency', '2002', 'govern', 'huge', 'hydrocarbon', 'windfall', 'ruin'];right-wing
31;Weyland 2020;2020;['HON_0_1_0_0_0_0_0', 'Lugo', 'PAR', 'Humala', '0_1', 'Kirchner-ARG', 'Kirchner-ARG', 'Colom', 'GUA', 'Populism––Latin_America_', '0_1', 'Fujimori', '0_1', 'Uribe', 'COL', '0_1', 'Menem', 'ARG', '0_1', '0_1'];neoliberal
32;Weyland 2020;2020;['type', 'crisis', 'grave', 'challenge', 'economy', 'public', 'safety', 'ECR', 'SCR', 'predict', 'populist', 'descent', 'three', 'path', 'theoretically', 'meaningful', 'capture', 'deleterious', 'impact', 'resource'];authoritatian
33;Weyland 2020;2020;['coincide', 'speciﬁc', 'conjunctural', 'opportunity', 'democracy', 'prove', 'resilient', 'illiberal', 'machination', 'populist', 'leader', 'recover', 'fully', 'temporary', 'deterioration', 'main', 'ﬁnding', 'analysis', 'concern', 'mixed'];authoritatian
34;Weyland 2020;2020;['recover', 'fully', 'temporary', 'deterioration', 'main', 'ﬁnding', 'analysis', 'concern', 'mixed', 'record', 'populist', 'assault', 'liberal', 'pluralism', 'democracy', 'die', 'easily', 'involution', 'nearly', 'frequent'];authoritatian
35;Weyland 2020;2020;['cement', 'predominance', 'wide-ranging', 'comparative', 'analysis', 'offer', 'reassurance', 'dire', 'warning', 'populism', 'threat', 'liberal', 'democracy', 'overestimate', 'risk', 'observer', 'overly', 'impressed', 'emblematic', 'case'];authoritatian
36;Weyland 2020;2020;['amendment', 'convocation', 'constituent', 'assembly', 'promote', 'involution', 'hard', 'imagine', 'the_United_States', 'populist', 'Trump', 'frustrate', 'dense', 'web', 'institutional', 'obstacle', 'simply', 'override', 'constraint', 'arrogate'];authoritatian
37;Weyland 2020;2020;['arena', 'weaken', 'position', 'Ginsberg', '2002', '43', '-', 'electoral', 'victory', 'strong-willed', 'populist', 'upended', 'low-level', 'equilibrium', 'mobilize', 'fervent', 'mass', 'base', 'ideological', 'Trump'];right-wing
38;Weyland 2020;2020;['low', 'institutionally', 'strong', 'polity', 'rectify', 'imbalance', 'wide-ranging', 'investigation', 'examine', 'condition', 'populist', 'assault', 'democracy', 'achieve', 'analysis', 'demonstrate', 'populist', 'path', 'narrow', 'uncertain'];authoritatian
39;Weyland 2020;2020;['wide-ranging', 'investigation', 'examine', 'condition', 'populist', 'assault', 'democracy', 'achieve', 'analysis', 'demonstrate', 'populist', 'path', 'narrow', 'uncertain', 'speciﬁc', 'institutional', 'weakness', 'coincide', 'extraordinary', 'largely'];authoritatian
40;Weyland 2020;2020;['narrow', 'uncertain', 'speciﬁc', 'institutional', 'weakness', 'coincide', 'extraordinary', 'largely', 'exogenous', 'conjuncture', 'populist', 'leader', 'destroy', 'democracy', 'consequently', 'backslide', 'the_United_States', 'ﬁrm', 'institutionalization', 'unlikely'];authoritatian
41;Weyland 2020;2020;['mandate', 'absence', 'acute', 'crisis', 'Trump', 'resolve', 'take', 'ofﬁce', 'prevent', 'U.S.', 'populist', 'garner', 'overwhelming', 'support', 'enable', 'counterpart', 'Europe', 'Latin_America', 'advance', 'resolutely'];authoritatian
42;Weyland 2020;2020;['resistance', 'fascism', 'striking', 'mischaracterization', 'recent', 'crop', 'non-ideological', 'largely', 'non-violent', 'populist', 'Eatwell', 'Goodwin', '47', '-', '64', '-', 'confrontational', 'tactic', 'populist', 'leader'];right-wing
43;Weyland 2020;2020;['populist', 'Eatwell', 'Goodwin', '47', '-', '64', '-', 'confrontational', 'tactic', 'populist', 'leader', 'deliberately', 'tempt', 'adversary', 'join', 'mud', 'wrestling', 'emerge', 'unsullied', 'nasty'];right-wing
44;Grant 2019;2019;['mention', 'true', 'despite', 'fact', 'people', 'regularly', 'assert', 'preferred', 'political', 'subject', 'populism', 'constituent', 'power', 'alike', 'pit', 'elite', 'constitution', 'opponent', 'populism', 'appeal'];right-wing
45;Grant 2019;2019;['political', 'subject', 'populism', 'constituent', 'power', 'alike', 'pit', 'elite', 'constitution', 'opponent', 'populism', 'appeal', 'people', 'normatively', 'suspect', 'ensure', 'foundation', 'modern', 'undercut', 'completely'];right-wing
46;Grant 2019;2019;['offer', 'theoretically', 'rich', 'complex', 'frame', 'contentious', 'politic', 'superior', 'reinforce', 'concern', 'populism', 'especially', 'kind', 'democratic', 'dominant', 'today', 'keyword', 'populism', 'constituent', 'power'];authoritatian
47;Grant 2019;2019;['people', 'ontology', 'political', 'T', 'article', 'begin', 'perplexing', 'reality', 'study', 'populism', 'rarely', 'mention', 'constituent', 'power', 'despite', 'relevance', 'populist', 'theorist', 'constituent', 'power'];right-wing
48;Grant 2019;2019;['people', 'preferred', 'subject', 'contentious', 'politic', 'pit', 'people', 'elite', 'constitution', 'critic', 'populism', 'appeal', 'people', 'normatively', 'suspect', 'ensure', 'foundation', 'modern', 'undercut', 'completely'];right-wing
49;Grant 2019;2019;['exist', 'liberal', 'democratic', 'politic', 'succumb', 'temptation', 'common', 'recent', 'manifestation', 'populism', 'position', 'theory', 'constituent', 'power', 'provide', 'need', 'compare', 'ontological', 'commitment', 'populism'];authoritatian
50;Grant 2019;2019;['frame', 'understand', 'contentious', 'politic', 'comparative', 'frame', 'illuminate', 'feature', 'exist', 'populism', 'include', 'masquerade', 'democratically', 'driven', 'kind', 'politic', 'account', 'populism', 'political', 'ideology'];authoritatian
51;Grant 2019;2019;['exist', 'populism', 'include', 'masquerade', 'democratically', 'driven', 'kind', 'politic', 'account', 'populism', 'political', 'ideology', 'premise', 'claim', 'people', 'cut', 'betray', 'decision', 'maker', 'combination'];authoritatian
52;Grant 2019;2019;['claim', 'people', 'cut', 'betray', 'decision', 'maker', 'combination', 'political', 'economic', 'elite', 'populist', 'leader', 'claim', 'embody', 'people', 'regard', 'moral', 'promise', 'reassert', 'primacy'];right-wing
53;Grant 2019;2019;['elite', 'unresponsive', 'everyday', 'citizen', 'economic', 'struggle', 'produce', 'economic', 'socio-cultural', 'populism', 'perceive', 'rise', 'minority', 'group', 'racial', 'ethnic', 'linguistic', 'religious', 'group', 'regard'];nationalist
54;Grant 2019;2019;['democracy', 'take', 'valid', 'case', 'persistence', 'thesis', 'reﬂect', 'recent', 'development', 'kind', 'populism', 'dominant', 'today', 'increasingly', 'virulent', 'nature', 'two', 'reason', 'receive', 'great'];authoritatian
55;Grant 2019;2019;['reason', 'receive', 'great', 'interest', 'article', 'compare', 'democratic', 'alternative', 'first', 'populism', 'widespread', 'popularity', 'institutional', 'foothold', 'country', 'multiple', 'continent', 'allow', 'conﬂate', 'constituent'];authoritatian
56;Grant 2019;2019;['press', 'need', 'evaluate', 'distinct', 'feature', 'second', 'argue', 'certain', 'limitation', 'defense', 'populism', 'democratic', 'deny', 'version', 'populism', 'exist', 'normatively', 'attractive', 'simply', 'argue'];inclusive
57;Grant 2019;2019;['second', 'argue', 'certain', 'limitation', 'defense', 'populism', 'democratic', 'deny', 'version', 'populism', 'exist', 'normatively', 'attractive', 'simply', 'argue', 'theoretical', 'articulation', 'conceptually', 'imprecise', 'time'];inclusive
58;Grant 2019;2019;['theoretical', 'articulation', 'conceptually', 'imprecise', 'time', 'capture', 'ﬁner', 'point', 'exist', 'populism', 'good', 'think', 'constituent', 'power', 'populism', 'exist', 'continuum', 'mobile', 'form', 'progressive'];authoritatian
59;Grant 2019;2019;['capture', 'ﬁner', 'point', 'exist', 'populism', 'good', 'think', 'constituent', 'power', 'populism', 'exist', 'continuum', 'mobile', 'form', 'progressive', 'accomplice', 'liable', 'confuse', 'difference', 'apparent'];authoritatian
60;Grant 2019;2019;['maintain', 'justiﬁcation', 'constituent', 'power', 'rely', 'normative', 'principle', 'especially', 'relevant', 'give', 'populism', 'mode', 'lack', 'comparable', 'normative', 'support', '4', 'literature', 'include', 'limit'];authoritatian
61;Grant 2019;2019;['mode', 'lack', 'comparable', 'normative', 'support', '4', 'literature', 'include', 'limit', 'Laclau_’s_on_Populist_Reason', 'previous', 'note', '’s', 'Populism_’s_power_:_Radical_Grassroots_Democracy_in_America', 'New_York', 'Oxford_University_Press', '2016', '’s', 'Constituent', 'moment'];authoritatian
62;Grant 2019;2019;['critic', 'offer', 'host', 'reason', 'regressive', 'political', 'force', 'resist', 'generally', 'case', 'populism', 'include', 'anti-liberal', 'anti-democratic', 'anticonstitutional', 'unjustiﬁable', 'way', 'pathological', 'reasoning', 'typically'];exclusive
63;Grant 2019;2019;['anticonstitutional', 'unjustiﬁable', 'way', 'pathological', 'reasoning', 'typically', 'racism', 'limit', 'additionally', 'populist', 'ruler', 'cast', 'corrupt', 'abuse', 'state', 'power', 'resource', 'interest', 'ally', 'populism'];exclusive
64;Grant 2019;2019;['Syriza', 'Greece', 'Podemos', 'Spain', 'ironically', 'latenineteenth', 'century', 'People_’s_Party', 'the_United_States—which', 'call', 'pseudo-populist', 'forth', 'moral', 'claim', 'represent', 'people', 'Sanders', 'later', '’s', 'identiﬁcation'];authoritatian
65;Grant 2019;2019;['forth', 'moral', 'claim', 'represent', 'people', 'Sanders', 'later', '’s', 'identiﬁcation', 'populism', 'ostensibly', 'democratic', 'condition', 'especially', 'relevant', 'paper', 'Hall', 'acknowledge', 'variety', 'populism'];authoritatian
66;Grant 2019;2019;['power', 'bill', 'discussion', 'peculiar', 'form', 'political', 'life', 'force', 'conclude', 'populism', 'expression', 'democracy', 'Müller', 'agree', 'populism', 'authentic', 'modern', 'democratic', 'politic', 'contend'];right-wing
67;Grant 2019;2019;['subsume', 'transform', 'identiﬁcation', 'authority', 'value', 'traditionalism', 'smack', 'ﬁrm', 'leadership', 'populism', 'critic', 'hardly', 'ﬁnal', 'matter', 'important', 'attempt', 'distinguish', 'progressive', 'feature', 'instance'];authoritatian
68;Grant 2019;2019;['interestingly', 'critic', 'populism', 'regard', 'periodic', 'surge', 'warning', 'sign', 'different', 'perspective', 'populism', 'alert', 'deﬁciencie', 'exist', 'politic', 'liberal-democratic-technocratic', 'variety', 'certain', 'population', 'Kazin'];exclusive
69;Grant 2019;2019;['politic', 'liberal-democratic-technocratic', 'variety', 'certain', 'population', 'Kazin', 'suggest', 'U.S.', 'history', 'populism', 'involve', 'grand', 'form', 'rhetorical', 'optimism', 'revive', 'fortune', 'marginalize', 'population', 'provide'];exclusive
70;Grant 2019;2019;['attention', 'liberal', 'democracy', 'oligarchic', 'component', 'damage', 'work', 'potent', 'contributor', 'populist', 'ironically', 'populism', '19', 'Canovan', 'trust_the_People_!', 'Populism', 'two', 'Faces', 'democracy', 'Political'];neoliberal
71;Grant 2019;2019;['democracy', 'oligarchic', 'component', 'damage', 'work', 'potent', 'contributor', 'populist', 'ironically', 'populism', '19', 'Canovan', 'trust_the_People_!', 'Populism', 'two', 'Faces', 'democracy', 'Political', 'Studies', '47'];neoliberal
72;Grant 2019;2019;['work', 'potent', 'contributor', 'populist', 'ironically', 'populism', '19', 'Canovan', 'trust_the_People_!', 'Populism', 'two', 'Faces', 'democracy', 'Political', 'Studies', '47', '1999', '2–16', '4', '20'];neoliberal
73;Grant 2019;2019;['decisive', 'moment', 'establish', 'form', 'subjectivity', 'Laclau', 'fully', 'aware', 'implication', 'argument', 'populism', 'consist', 'postulate', 'alternative', 'communitarian', 'space', 'choice', 'crossroad', 'future', 'give'];radical
74;Grant 2019;2019;['alternative', 'communitarian', 'space', 'choice', 'crossroad', 'future', 'give', 'society', 'hinge', 'populism', 'synonymous', 'politic', 'answer', 'afﬁrmative', 'despite', 'clarity', 'Laclau', 'remain', 'consistent', 'additional'];radical
75;Grant 2019;2019;['true', 'untrue', 'elaborate', 'ontological', 'form', 'associate', 'presently', 'virulent', 'form', 'populism', 'populism', 'minimum', 'share', 'ontological', 'form', 'separate', 'content', 'casual', 'matter', 'Laclau'];authoritatian
76;Grant 2019;2019;['untrue', 'elaborate', 'ontological', 'form', 'associate', 'presently', 'virulent', 'form', 'populism', 'populism', 'minimum', 'share', 'ontological', 'form', 'separate', 'content', 'casual', 'matter', 'Laclau', 'invite'];authoritatian
77;Grant 2019;2019;['agitator', 'occupy', 'lgbtq', 'activist', 'regard', 'popular', 'sovereignty', 'relation', 'state', 'populism', 'advantage', 'obvious', 'fraught', 'attempt', 'deﬁne', 'people', 'replace', 'emphasis', 'nature', 'practice'];right-wing
78;Grant 2019;2019;['face', 'unprecedented', 'danger', 'ﬁzzle', 'slide', 'reactionary', 'fascistic', 'mode', 'formulation', 'make', 'populism', 'naturally', 'democratic', 'undergo', 'genetic', 'alteration', 'turn', 'malignant', 'wish', 'argue'];authoritatian
79;Grant 2019;2019;['intrinsic', 'ideological', 'stance', 'rely', 'continuum', 'propose', 'early', 'clear', 'variant', 'populism', 'absolutely', 'dominant', 'today', 'Grattan', 'admit', 'urgent', 'task', 'include', 'able', 'distinguish'];authoritatian
80;Grant 2019;2019;['today', 'Grattan', 'admit', 'urgent', 'task', 'include', 'able', 'distinguish', 'different', 'kind', 'populism', 'identify', 'populism', 'masquerade', 'democratic', 'constituent', 'power', 'kind', 'difﬁcultie', 'Laclau'];authoritatian
81;Grant 2019;2019;['urgent', 'task', 'include', 'able', 'distinguish', 'different', 'kind', 'populism', 'identify', 'populism', 'masquerade', 'democratic', 'constituent', 'power', 'kind', 'difﬁcultie', 'Laclau', 'work', 'repeat', 'Grattan'];authoritatian
82;Grant 2019;2019;['american', 'populist', 'movement', 'appear', 'currently', 'reliably', 'section', 'show', 'assessment', 'populism', 'vary', 'unmitigated', 'condemnation', 'enthusiastic', 'devotion', 'interest', 'demonstrate', 'variety', 'prevent', 'conclusion'];right-wing
83;Grant 2019;2019;['enthusiastic', 'devotion', 'interest', 'demonstrate', 'variety', 'prevent', 'conclusion', 'come', 'view', 'first', 'populism', 'dominant', 'mode', 'the_United_States', 'Europe', 'deeply', 'regressive', 'offer', 'little', 'warning'];authoritatian
84;Grant 2019;2019;['offer', 'little', 'warning', 'signal', 'problem', 'plague', 'exist', 'politic', 'later', 'populism', 'likely', 'exacerbate', '38', 'Ibid_.', '29', '39', 'Frank', 'populism_,_Polarization_,', 'Praxis', 'Contemporary'];authoritatian
85;Grant 2019;2019;['democratic', 'renewal', 'rightly', 'complicate', 'one-way', 'account', 'critic', 'work', 'explain', 'unique', 'populism', 'progressive', 'position', 'option', 'offer', 'appropriate', 'path', 'progressive', 'democrat', 'socialist'];radical
86;Grant 2019;2019;['demonstrate', 'important', 'reason', 'support', 'concept', 'despite', 'particular', 'provide', 'convincing', 'justiﬁcation', 'populism', 'form', 'especially', 'populism', 'constitute', 'legitimate', 'challenge', 'constitute', 'power', 'constituent'];authoritatian
87;Grant 2019;2019;['concept', 'despite', 'particular', 'provide', 'convincing', 'justiﬁcation', 'populism', 'form', 'especially', 'populism', 'constitute', 'legitimate', 'challenge', 'constitute', 'power', 'constituent', 'power', 'concept', 'central', 'certain'];authoritatian
88;Grant 2019;2019;['capacity', 'remake', 'political', 'legal', 'order', 'free', 'constraint', 'exist', 'order', 'populist', 'rhetoric', 'politic', 'claim', 'power', 'consider', 'exist', 'legal', 'obstacle', 'agenda', 'represent'];right-wing
89;Grant 2019;2019;['form', 'shall', 'likely', 'effect', 'Safety_and_Happiness', 'read', 'passage', 'separate', 'appropriation', 'populist', 'invoke', 'seminal', 'instance', 'revolutionary', 'constituent', 'power', 'position', 'justiﬁcation', 'constituent', 'power'];authoritatian
90;Grant 2019;2019;['current', 'predominant', 'mode', 'possess', 'equivalent', 'normative', 'backing', 'accept', 'example', 'instance', 'populist', 'invoke', 'principle', 'self-determination', 'justiﬁcation', 'decouple', 'state', 'international', 'institution', 'case'];nationalist
91;Grant 2019;2019;['government', 'engage', 'rebalance', 'domestic', 'interest', 'international', 'commitment', 'turn', 'situation', 'populist', 'self-determination', '62', 'Corrias', 'populism', 'Constitutional', 'Key', 'Constituent', 'Power', 'Popular_Sovereignty', 'Constitutional'];authoritatian
92;Grant 2019;2019;['interest', 'international', 'commitment', 'turn', 'situation', 'populist', 'self-determination', '62', 'Corrias', 'populism', 'Constitutional', 'Key', 'Constituent', 'Power', 'Popular_Sovereignty', 'Constitutional', 'identity', 'European', 'Constitutional', 'Law'];authoritatian
93;Grant 2019;2019;['populism', 'usually', 'the_Le_Pens', '65', 'Cas', 'Mudde', 'Kaltwasser', 'Exclusionary', 'Inclusionary', 'Populism', 'Comparing', 'Contemporary', 'Europe', 'Latin_America', 'Government', 'Opposition', '48', '2013', '147–74', 'Orbán'];right-wing
94;Grant 2019;2019;['cosmopolitan', 'liberal', 'immigrant', 'minority', 'regard', 'lazy', 'welfare', 'scrounger', 'notice', 'populism', 'anger', 'expend', 'entirely', 'primarily', 'elite', 'Left-wing', 'populism', 'direct', 'ire', 'multinational'];right-wing
95;Grant 2019;2019;['scrounger', 'notice', 'populism', 'anger', 'expend', 'entirely', 'primarily', 'elite', 'Left-wing', 'populism', 'direct', 'ire', 'multinational', 'corporation', 'wealthy', 'tax', 'evader', 'politician', 'support', 'likely'];right-wing
96;Grant 2019;2019;['populist', 'simply', 'happen', 'fact', 'central', 'political', 'mission', 'kind', 'regressive', 'populism', 'confront', 'today', 'treat', 'people', 'singular', 'homogeneous', 'subject', 'regardless', 'different', 'variation'];authoritatian
97;Grant 2019;2019;['ﬁghte', 'majority', 'constituent', 'power', 'appeal', 'small', 'population', 'motivate', 'speciﬁc', 'agent', 'populism', 'subtle', 'difference', 'involve', 'political', 'temporality', 'populism', 'imagine', 'exist', 'unity'];authoritatian
98;Grant 2019;2019;['motivate', 'speciﬁc', 'agent', 'populism', 'subtle', 'difference', 'involve', 'political', 'temporality', 'populism', 'imagine', 'exist', 'unity', 'people', 'identity', 'indicative', 'pure', 'present', 'question', 'constituent'];authoritatian
99;Grant 2019;2019;['289', 'note', '44', 'hold', 'view', 'political', 'unity', 'contingent', 'in-process', 'give', 'populism', 'imagine', 'heart', 'populism', 'uniﬁed', 'people', 'common', 'identity', 'logical', 'piece'];authoritatian
100;Grant 2019;2019;['view', 'political', 'unity', 'contingent', 'in-process', 'give', 'populism', 'imagine', 'heart', 'populism', 'uniﬁed', 'people', 'common', 'identity', 'logical', 'piece', 'ontology', 'political', 'short', 'unity'];authoritatian
101;Grant 2019;2019;['value', 'changeable', 'second', 'uniﬁed', 'begin', 'regardless', 'second', 'claim', 'essential', 'confront', 'populist', 'fall-back', 'position', 'people', 'remain', 'singular', 'obscure', 'elite', 'domination', 'populism'];authoritatian
102;Grant 2019;2019;['populist', 'fall-back', 'position', 'people', 'remain', 'singular', 'obscure', 'elite', 'domination', 'populism', 'commit', 'retrieve', 'people', 'perspective', 'constituent', 'power', 'involve', 'production', 'articulate', 'version'];authoritatian
103;Grant 2019;2019;['reason', 'similar', 'one', 'bring', 'notion', 'uniﬁed', 'subject', 'uniform', 'identity', 'additionally', 'populist', 'take', 'political', 'people', 'treat', 'natural', 'populism', 'aim', 'identity-lock', 'people'];authoritatian
104;Grant 2019;2019;['uniform', 'identity', 'additionally', 'populist', 'take', 'political', 'people', 'treat', 'natural', 'populism', 'aim', 'identity-lock', 'people', 'state', 'classically', 'Volkstaat', 'perspective', 'constituent', 'power', 'identity-lock'];authoritatian
105;Grant 2019;2019;['4', 'redundant', 'identity-lock', 'people', 'state', 'promise', 'identity-lock', 'central', 'politic', 'populist', 'Marine_Le_Pen_’s', 'slogan', '2017', 'presidential', 'campaign', 'Au_nom_du', 'peuple', 'people', 'today', 'mainstream'];authoritatian
106;Grant 2019;2019;['plague', 'formal', 'character', 'insofar', 'fail', 'deliver', 'promise', 'equal', 'application', 'treatment', 'populist', 'obvious', 'symptom', 'conﬂict', 'elite', 'people', 'wrong', 'response', 'especially', 'populism'];right-wing
